Date,Studio,Library_Titles,Library_Value_B,Annual_Content_Spend_B,Theatrical_Releases,Streaming_Originals
2016-03-31 05:47:07.660415,Warner Bros,43459,15.15499352361728,1.109382238513577,12,43
2016-03-31 05:47:07.660415,HBO,19415,25.231274975474268,7.831641649656735,0,42
2016-03-31 05:47:07.660415,Discovery,17014,11.291049342855837,2.2812232293648353,0,48
2016-03-31 05:47:07.660415,DC,21658,8.654125391878013,6.025439443993294,19,48
2016-03-31 05:47:07.660415,CNN,24219,9.784575624183427,1.5709881642605008,0,49
2016-03-31 05:47:07.660415,TNT/TBS,25562,8.720727536835028,5.268788961037556,0,47
2016-06-30 05:47:07.660415,Warner Bros,41909,26.9969461933212,6.226368782416962,11,41
2016-06-30 05:47:07.660415,HBO,17609,16.66311160205097,6.26852159893704,0,46
2016-06-30 05:47:07.660415,Discovery,22161,14.303775316279705,1.5026944795230195,0,46
2016-06-30 05:47:07.660415,DC,38530,5.66995277815356,7.91167399823227,7,58
2016-06-30 05:47:07.660415,CNN,35366,9.967917165973507,7.163493446895242,0,44
2016-06-30 05:47:07.660415,TNT/TBS,17644,9.166708525747664,1.4599452230356467,0,47
2016-09-30 05:47:07.660415,Warner Bros,26226,24.33030298865677,2.05014476264027,12,48
2016-09-30 05:47:07.660415,HBO,23276,22.398557880668847,5.761269335153891,0,38
2016-09-30 05:47:07.660415,Discovery,41240,29.9178448178319,5.871631028106525,0,59
2016-09-30 05:47:07.660415,DC,26961,10.623407711246713,4.192910349211591,13,48
2016-09-30 05:47:07.660415,CNN,16801,28.1225938979127,3.7320015235792567,0,48
2016-09-30 05:47:07.660415,TNT/TBS,12644,23.82889976299299,3.0185938340471634,0,55
2016-12-31 05:47:07.660415,Warner Bros,33810,11.790490940924606,3.0857542913664022,7,48
2016-12-31 05:47:07.660415,HBO,46554,23.682494114370204,5.112114395647995,0,44
2016-12-31 05:47:07.660415,Discovery,6188,28.325941929367044,5.506925959818346,0,43
2016-12-31 05:47:07.660415,DC,44041,25.462306037474974,4.285691085600242,9,53
2016-12-31 05:47:07.660415,CNN,18120,27.123749202079885,7.840078321701027,0,44
2016-12-31 05:47:07.660415,TNT/TBS,12573,10.916476070679257,7.237147480944812,0,36
2017-03-31 05:47:07.660415,Warner Bros,30548,12.731157559706917,3.928144584759748,7,41
2017-03-31 05:47:07.660415,HBO,25690,9.555879137149688,5.541018399764448,0,62
2017-03-31 05:47:07.660415,Discovery,11725,12.450872997332347,5.727443510773661,0,41
2017-03-31 05:47:07.660415,DC,42145,6.6499044057690595,2.1799793183801177,18,51
2017-03-31 05:47:07.660415,CNN,43410,7.0035598955477685,6.406056713007412,0,39
2017-03-31 05:47:07.660415,TNT/TBS,47229,21.99426982644196,3.684459001950422,0,55
2017-06-30 05:47:07.660415,Warner Bros,29344,29.266250894500025,7.413816426076874,6,46
2017-06-30 05:47:07.660415,HBO,45490,20.98587321646436,1.5752216034581934,0,48
2017-06-30 05:47:07.660415,Discovery,27712,27.002135209862175,5.319955939325382,0,45
2017-06-30 05:47:07.660415,DC,16314,9.195847630978013,5.1049197404432,12,55
2017-06-30 05:47:07.660415,CNN,47130,21.963514672059965,1.5933234416668913,0,56
2017-06-30 05:47:07.660415,TNT/TBS,20286,28.7468707797648,1.4139337011222501,0,51
2017-09-30 05:47:07.660415,Warner Bros,37948,25.2720040289691,5.047242598587389,11,44
2017-09-30 05:47:07.660415,HBO,7911,12.250274391461641,3.7703471223948988,0,40
2017-09-30 05:47:07.660415,Discovery,31367,26.295651807621656,6.96556759983347,0,57
2017-09-30 05:47:07.660415,DC,39607,25.049176044957967,4.962999767287096,6,45
2017-09-30 05:47:07.660415,CNN,42321,8.272261096218884,1.4762355833520842,0,51
2017-09-30 05:47:07.660415,TNT/TBS,34897,10.592889946342419,5.528447415082436,0,50
2017-12-31 05:47:07.660415,Warner Bros,27381,27.482596824802993,3.5124005162694556,20,54
2017-12-31 05:47:07.660415,HBO,38275,12.796592367506863,4.557891054976,0,53
2017-12-31 05:47:07.660415,Discovery,30269,26.08470364799688,1.863574643899307,0,46
2017-12-31 05:47:07.660415,DC,9248,22.88802093848526,3.178943742199717,12,59
2017-12-31 05:47:07.660415,CNN,27775,19.176552924383873,7.473859692213612,0,42
2017-12-31 05:47:07.660415,TNT/TBS,8435,22.86097192141067,7.459826973814909,0,59
2018-03-31 05:47:07.660415,Warner Bros,36441,19.702399271385442,1.3834112039493385,5,44
2018-03-31 05:47:07.660415,HBO,46989,19.678671919105373,4.562118454226815,0,49
2018-03-31 05:47:07.660415,Discovery,33365,8.467823428989696,7.65693854786653,0,45
2018-03-31 05:47:07.660415,DC,17562,6.636528132539142,2.574576893467798,14,53
2018-03-31 05:47:07.660415,CNN,21817,7.511952254131666,2.3748120281062257,0,42
2018-03-31 05:47:07.660415,TNT/TBS,48137,26.4507601074782,5.36835573403536,0,53
2018-06-30 05:47:07.660415,Warner Bros,20821,11.630504808888455,4.012081917902124,11,48
2018-06-30 05:47:07.660415,HBO,20481,12.06633248263498,4.523147105438834,0,40
2018-06-30 05:47:07.660415,Discovery,47117,12.205401456593915,4.021445379806599,0,62
2018-06-30 05:47:07.660415,DC,20745,7.238580783818445,3.169117009684846,7,44
2018-06-30 05:47:07.660415,CNN,42112,22.644021980481604,5.730165104705046,0,42
2018-06-30 05:47:07.660415,TNT/TBS,49280,13.839759568940863,4.85647204523215,0,51
