Date,Genre,Content_Type,Budget_M,Hours_Viewed_M,Completion_Rate,Rating,Awards_Noms
2016-02-29 05:47:07.877452,Drama,Documentary,81.8238982805075,24.998736953125817,0.47501793145232235,8.156238668485699,0
2016-02-29 05:47:07.877452,Drama,Documentary,24.572064706462356,48.832918236801135,0.46584811717826663,5.959893543020811,1
2016-02-29 05:47:07.877452,Drama,Documentary,76.75845086475384,10.969571470755685,0.6455007686633631,5.149096117872258,0
2016-02-29 05:47:07.877452,Drama,Documentary,13.193785253329285,6.503001531613826,0.3652278795481852,8.875054103799103,0
2016-02-29 05:47:07.877452,Drama,Film,19.275280150430163,50.18031650920859,0.6190834139099626,7.87930004206461,1
2016-02-29 05:47:07.877452,Drama,Series,7.865402465038379,115.61901276604996,0.8432884655113864,6.218825864946213,0
2016-02-29 05:47:07.877452,Drama,Series,9.924859730578806,63.66143987436183,0.813387066290971,7.794756125471583,1
2016-02-29 05:47:07.877452,Drama,Series,23.44835770081683,6.396774280665762,0.5686965640869356,7.434918300551668,0
2016-02-29 05:47:07.877452,Drama,Series,87.94220634440317,15.807401138838085,0.5598394583381869,8.762005175469096,2
2016-02-29 05:47:07.877452,Drama,Film,30.26202308588186,27.800397602870277,0.6574761366430447,7.771835544839564,0
2016-02-29 05:47:07.877452,Drama,Documentary,34.25710051179274,38.61472271549938,0.7020575267758669,6.56922072373023,1
2016-02-29 05:47:07.877452,Drama,Series,22.89417466376161,86.11727450803383,0.702386330540235,8.58085638963119,0
2016-02-29 05:47:07.877452,Drama,Documentary,45.81441362739891,113.38230141403893,0.5690887199386303,6.611567636775616,1
2016-02-29 05:47:07.877452,Drama,Series,16.407228705183087,7.457019305631437,0.7187645224167849,7.553149762437661,1
2016-02-29 05:47:07.877452,Drama,Series,23.425067530834657,59.01621071143794,0.5723862502116435,7.8355588742015385,0
2016-02-29 05:47:07.877452,Comedy,Film,30.908179309480715,108.45613271794217,0.3947233544797618,5.363686293015547,0
2016-02-29 05:47:07.877452,Comedy,Series,54.893725107410724,22.47421163337457,0.40695627335221174,6.123045512885856,0
2016-02-29 05:47:07.877452,Comedy,Film,20.62053966009394,125.8580315624466,0.5717677448447449,8.043913324001792,0
2016-02-29 05:47:07.877452,Comedy,Series,8.179677073578233,73.99799915994869,0.6135431597865286,5.164535824938714,0
