Date,Platform,Region,MAU_M,Premium_Subs_M,ARPU,Ad_Revenue_Per_User
2016-02-29 05:47:07.316302,Spotify,North America,120.62078330524935,42.96170067122476,6.456301500877765,0.8160502781744854
2016-02-29 05:47:07.316302,Spotify,Europe,154.79442995428064,45.3341790595136,6.957848899483749,0.588006674199617
2016-02-29 05:47:07.316302,Spotify,LATAM,94.8348314103302,35.86066488946768,4.56359336288677,1.2476838437682412
2016-02-29 05:47:07.316302,Spotify,APAC,96.79683402075835,36.42562872621799,3.9428647817392757,0.9555214598641328
2016-02-29 05:47:07.316302,Spotify,ROW,25.49769615125106,8.94021838173361,5.3804528541581345,1.2614223559163558
2016-02-29 05:47:07.316302,Apple Music,North America,24.636746912320287,10.168793614673103,9.97064775703429,0.9842101216162834
2016-02-29 05:47:07.316302,Apple Music,Europe,30.225742647421526,14.684553646952148,6.947980799099885,0.6405352589043147
2016-02-29 05:47:07.316302,Apple Music,LATAM,20.103905938449405,9.091369804771979,5.713452466098697,0.7204277119187814
2016-02-29 05:47:07.316302,Apple Music,APAC,19.857205945666397,8.669678550291776,4.401668888653,0.5896382975430741
2016-02-29 05:47:07.316302,Apple Music,ROW,4.783358239508656,1.741272737470683,4.9959806450424376,1.6447237421153857
2016-02-29 05:47:07.316302,Amazon Music,North America,19.42178409686351,9.8116157909824,8.856188630976382,1.3040104367310823
2016-02-29 05:47:07.316302,Amazon Music,Europe,23.760196439790544,8.784531616480315,5.733222746237699,1.6245968135228646
2016-02-29 05:47:07.316302,Amazon Music,LATAM,16.470325408290147,6.376584586228499,4.0511004087023,1.0252277036456887
2016-02-29 05:47:07.316302,Amazon Music,APAC,16.328377636353718,7.302244904691667,4.498625073251487,1.3358173687223802
2016-02-29 05:47:07.316302,Amazon Music,ROW,4.009302886698429,1.2317850236192223,3.7140479565148423,1.784519978304754
2016-02-29 05:47:07.316302,YouTube Music,North America,19.398054881922455,8.775765325628749,9.23986322200154,0.9343848618465797
2016-02-29 05:47:07.316302,YouTube Music,Europe,23.96059026816676,8.056845625403007,9.109899761641934,1.798465664342477
2016-02-29 05:47:07.316302,YouTube Music,LATAM,15.81040525934516,6.704512168025942,5.125427907681122,0.5941907310090822
2016-02-29 05:47:07.316302,YouTube Music,APAC,15.606943406733476,7.970537437245478,3.9923580962374228,1.4528505270003038
2016-02-29 05:47:07.316302,YouTube Music,ROW,3.997919428992492,1.8011811289161208,3.1389345417666945,1.1859381362718227
2016-02-29 05:47:07.316302,Deezer,North America,4.1846786380419685,1.5729296838152815,6.743757078265956,1.870190039201037
2016-02-29 05:47:07.316302,Deezer,Europe,4.931743150824782,1.8113770841155838,8.257716289712913,1.8912478179575731
2016-02-29 05:47:07.316302,Deezer,LATAM,3.306515478091839,1.4634485300814546,3.4265853560065804,0.523727510435898
2016-02-29 05:47:07.316302,Deezer,APAC,3.106631724437978,1.1185023571684654,5.039519438884831,1.9827761361834866
2016-02-29 05:47:07.316302,Deezer,ROW,0.770465048310328,0.37431774648478866,4.164056884118316,1.4822436602762188
2016-02-29 05:47:07.316302,Tidal,North America,1.1995206765266395,0.5192892023724169,6.418515815039253,1.0133762210180037
2016-02-29 05:47:07.316302,Tidal,Europe,1.5583573040266265,0.5285610568371764,6.225965289195825,1.1120651777854182
2016-02-29 05:47:07.316302,Tidal,LATAM,0.9734045280061572,0.3790086029118522,5.729960425430132,1.3511262797470092
