Date,Total_Debt_B,Net_Debt_B,EBITDA_B,Leverage_Ratio,Interest_Expense_B,FCF_B
2021-03-31 05:47:07.660101,53.81901109092363,49.5,12.514699156334053,4.049178647444472,2.75,2.546431857046684
2021-06-30 05:47:07.660101,54.63620592817254,48.78,12.241904585011468,4.415327073966573,2.7100000000000004,2.812115149998829
2021-09-30 05:47:07.660101,53.30111458236492,48.06,10.959850837331278,4.423803034847525,2.67,5.42931247358643
2021-12-31 05:47:07.660101,53.187065879009474,47.34,11.286617567220212,3.8835506902615613,2.6300000000000003,4.984075232346681
2022-03-31 05:47:07.660101,50.91299491639884,46.62,12.068160881703847,3.8548181978618263,2.59,5.871615242797716
2022-06-30 05:47:07.660101,50.557543267851905,45.9,11.761192635325973,3.7677575109962818,2.5500000000000003,2.3368705019631695
2022-09-30 05:47:07.660101,50.441980538353306,45.18000000000001,11.434770556216836,4.125630619406437,2.5100000000000002,3.712236921202496
2022-12-31 05:47:07.660101,50.429789171974534,44.46,11.80699069152034,3.818925241786552,2.47,3.124513647082063
2023-03-31 05:47:07.660101,49.042580457449496,43.74,11.12275905214905,3.8608221183761087,2.43,5.720779694858264
2023-06-30 05:47:07.660101,49.622470090858656,43.019999999999996,11.387090324771702,3.480390795819113,2.39,5.802785611019258
2023-09-30 05:47:07.660101,47.10061140137758,42.300000000000004,12.323488593879091,4.166131469324711,2.35,2.1157341524608353
2023-12-31 05:47:07.660101,46.4031243508499,41.580000000000005,12.32003720786807,3.5270913317954395,2.31,2.3162042355366546
2024-03-31 05:47:07.660101,45.415314711183576,40.86,10.856968836109155,3.361822067192049,2.27,3.0850498521608505
2024-06-30 05:47:07.660101,45.55614943180226,40.14,12.67429333572773,3.4240230439424586,2.23,4.71333053619823
2024-09-30 05:47:07.660101,44.54176040023302,39.42,13.280876591874318,4.12500872528791,2.19,5.047738187135834
2024-12-31 05:47:07.660101,41.379548983193025,38.7,10.471934114289706,3.0909093203183136,2.15,2.5114935231160196
2025-03-31 05:47:07.660101,41.587706455190094,37.980000000000004,13.753831626670722,3.252427053990678,2.1100000000000003,3.987933772944263
2025-06-30 05:47:07.660101,39.34250369861957,37.26,13.894762167903629,3.3845173562564774,2.07,4.732910700014672
2025-09-30 05:47:07.660101,41.7474395996276,36.54,10.702306951835757,3.3726161023462993,2.0300000000000002,5.559643695334859
2025-12-31 05:47:07.660101,38.73653268713343,35.82,13.571801039254463,2.9641461622492224,1.99,3.906008325727081
