Month,Product,Company,Complaint_Count,Timely_Response_Pct,Consumer_Disputed_Pct,MoM_Change,YoY_Change
2016-02,Bank account,Equifax,2213,0.9573601591975411,0.24272072462077782,,
2016-03,Bank account,Equifax,2640,0.9548100534093533,0.24744072220056482,0.1929507455942161,
2016-04,Bank account,Equifax,2066,0.955414844773958,0.2532317189276495,-0.2174242424242424,
2016-05,Bank account,Equifax,2405,0.9550660630805059,0.2476637449098621,0.1640851887705712,
2016-06,Bank account,Equifax,1862,0.9534756188220619,0.2505955818102279,-0.22577962577962574,
2016-07,Bank account,Equifax,2099,0.9537754715261698,0.25276394187062845,0.12728249194414598,
2016-08,Bank account,Equifax,2246,0.9525734865427441,0.24675285050181744,0.07003334921391136,
2016-09,Bank account,Equifax,2576,0.9551485450665184,0.24939730737532678,0.14692787177203925,
2016-10,Bank account,Equifax,1833,0.9554815763404088,0.24485573703606583,-0.2884316770186336,
2016-11,Bank account,Equifax,2619,0.9519127917527425,0.2485508742146906,0.4288052373158757,
2016-12,Bank account,Equifax,2340,0.95702483230245,0.2544057666494136,-0.10652920962199308,
2017-01,Bank account,Equifax,2706,0.9552285368336054,0.2601238091109768,0.15641025641025652,
2017-02,Bank account,Equifax,2695,0.9536970380517432,0.25638142361262006,-0.004065040650406471,0.21780388612742874
2017-03,Bank account,Equifax,3362,0.9542403707839605,0.24862122979251428,0.247495361781076,0.27348484848484844
2017-04,Bank account,Equifax,2849,0.953383854276324,0.24499827961521692,-0.15258774538964903,0.3789932236205227
2017-05,Bank account,Equifax,2218,0.9565069654733481,0.2567357620564105,-0.2214812214812215,-0.0777546777546777
2017-06,Bank account,Equifax,2295,0.954718685801417,0.2514326466894169,0.03471596032461677,0.23254564983888293
2017-07,Bank account,Equifax,2274,0.9551479488103856,0.2529846162803715,-0.009150326797385588,0.08337303477846603
2017-08,Bank account,Equifax,1810,0.9583536707234174,0.25013580166702604,-0.2040457343887423,-0.19412288512911846
2017-09,Bank account,Equifax,1854,0.9549250331364733,0.24067878961193076,0.024309392265193353,-0.28027950310559
2017-10,Bank account,Equifax,2611,0.9561470200787746,0.2497886220925424,0.40830636461704417,0.4244408074195307
2017-11,Bank account,Equifax,3404,0.9546337681734602,0.24818379996188736,0.3037150517043279,0.29973272241313476
2017-12,Bank account,Equifax,2828,0.9543618270589901,0.24935397642923962,-0.16921269095182134,0.20854700854700847
2018-01,Bank account,Equifax,3442,0.9550679533491525,0.2542996738811573,0.21711456859971712,0.2719881744271988
2018-02,Bank account,Equifax,2558,0.9542349971937023,0.2531642593405206,-0.2568274259151656,-0.05083487940630793
2018-03,Bank account,Equifax,3533,0.9578959420264366,0.24855892193540383,0.38115715402658323,0.050862581796549566
2018-04,Bank account,Equifax,3035,0.9540517548177596,0.25187874429521534,-0.14095669402773847,0.06528606528606518
2018-05,Bank account,Equifax,2763,0.9547486216160501,0.251926470766214,-0.08962108731466223,0.24571686203787202
2018-06,Bank account,Equifax,2264,0.955576153833866,0.25072794903103623,-0.18060079623597536,-0.01350762527233118
2018-07,Bank account,Equifax,2423,0.9558335089836525,0.25103680451556765,0.07022968197879864,0.06552330694810915
2018-08,Bank account,Equifax,1916,0.9548692543767384,0.24739489860122518,-0.2092447379281882,0.05856353591160213
2018-09,Bank account,Equifax,2741,0.9544764768299836,0.2429079763765201,0.4305845511482256,0.47842502696871625
2018-10,Bank account,Equifax,3014,0.9563919308588469,0.2526738557524328,0.0995986866107259,0.15434699348908465
2018-11,Bank account,Equifax,2460,0.9536367140473936,0.25224019279776044,-0.1838088918380889,-0.27732079905992946
2018-12,Bank account,Equifax,2771,0.9546913861657818,0.2593343818156405,0.12642276422764231,-0.020155586987270158
2019-01,Bank account,Equifax,3378,0.9561867430470503,0.24834933914376928,0.2190544929628293,-0.01859384079023818
2019-02,Bank account,Equifax,2086,0.9536781436488465,0.24704745435600242,-0.38247483718176434,-0.18451915559030496
