Year,Bank,Scenario,Projected_Loss_Rate,Min_CET1,PPNR_B,Loan_Losses_B,Qualitative_Result
2016,Bank of America,Baseline,0.3991150062022695,12.45752719331177,44.85973775829677,9.099059212056828,Pass
2016,Bank of America,Adverse,3.5446517664185233,7.39613249832929,56.43593061497991,50.4131518283537,Pass
2016,Bank of America,Severely Adverse,7.9130494956067885,6.97039617238608,23.168298912769075,43.35189761483562,Pass
2016,JPMorgan,Baseline,0.4043393961521431,11.394321320060714,47.72725046199927,8.74516655601237,Pass
2016,JPMorgan,Adverse,4.113931331619326,9.406555650069496,59.48792099385005,61.95718621583859,Conditional
2016,JPMorgan,Severely Adverse,6.320621512834837,8.723292704921644,29.974775343360246,10.898840163761482,Pass
2016,Citigroup,Baseline,1.338045373759356,12.26650956898719,44.08574201463357,10.705525136932783,Conditional
2016,Citigroup,Adverse,4.6269481690654715,9.004459006045618,35.60763501406301,34.321853287824275,Pass
2016,Citigroup,Severely Adverse,6.19938598916335,9.622369699857424,52.89132085249194,57.08368006407526,Objection
2016,Wells Fargo,Baseline,1.1160954248678703,12.166086982715328,20.46083772365805,17.998560359132878,Pass
2016,Wells Fargo,Adverse,4.794121846682902,8.55761079043559,54.26621453757206,77.59653742652627,Pass
2016,Wells Fargo,Severely Adverse,6.69308854991609,8.252655216957955,23.035747403704022,34.71586325979352,Pass
2016,Goldman Sachs,Baseline,1.774629606170504,12.497972476054802,26.454487214178176,18.526116198017238,Conditional
2016,Goldman Sachs,Adverse,3.073686698057627,8.352063692743636,42.32291459685092,49.441729417038424,Pass
2016,Goldman Sachs,Severely Adverse,6.543059098976352,7.82337555669535,32.51445099971653,75.90422820244285,Pass
2016,Morgan Stanley,Baseline,0.29639801617315054,11.572106389372832,22.231048140150598,10.458842517214883,Pass
2016,Morgan Stanley,Adverse,4.625582837874386,8.720739923732136,22.163311331873597,27.32700902649616,Pass
2016,Morgan Stanley,Severely Adverse,6.261449630758754,9.837693425172684,51.17002188619534,23.639780317010743,Conditional
2017,Bank of America,Baseline,0.3091801505914211,11.910728991579663,34.28341311094536,14.491701506316744,Pass
2017,Bank of America,Adverse,3.679610519501257,8.544031327111096,34.6900052867644,51.14757700689353,Pass
2017,Bank of America,Severely Adverse,6.6735426882525655,7.690717538437179,41.24716924531691,69.38968461130982,Objection
2017,JPMorgan,Baseline,0.10199200038811318,11.140433012356443,27.448436895301324,17.19985570845364,Pass
2017,JPMorgan,Adverse,4.879222924963418,8.441599588239102,56.46278076274961,60.99571983037802,Pass
2017,JPMorgan,Severely Adverse,6.578474740539535,6.006630593631803,46.68976072302222,35.341772207263496,Pass
2017,Citigroup,Baseline,0.3435022293504404,11.678863509730984,54.941694801985726,17.195004560543552,Conditional
2017,Citigroup,Adverse,3.906849692680013,7.075680524703591,28.39808648236864,74.7210964774973,Pass
2017,Citigroup,Severely Adverse,6.78279946667994,9.576472145676583,21.491466154665492,69.8476351031581,Pass
2017,Wells Fargo,Baseline,0.6483397864331697,11.973226984026745,25.129426382498362,10.523118624163807,Pass
2017,Wells Fargo,Adverse,4.349258464580255,7.10166549113911,31.343811467733154,50.25150939123643,Pass
2017,Wells Fargo,Severely Adverse,7.917543881473901,9.529184854514268,42.53734614959092,62.232918439043786,Pass
2017,Goldman Sachs,Baseline,0.18839335907684962,11.651114264614385,39.164648216145025,19.95325111109768,Objection
2017,Goldman Sachs,Adverse,3.0473998815130097,7.798767712624677,27.412314502726606,55.26760201564248,Pass
2017,Goldman Sachs,Severely Adverse,7.705718003818186,7.637169194297945,38.29471568043079,17.034265589986756,Pass
2017,Morgan Stanley,Baseline,0.6494369949251266,12.708143985467562,21.73405316538826,19.07823351537263,Pass
2017,Morgan Stanley,Adverse,3.3367701207745535,6.9440564543660255,24.899951268235423,79.46365988576359,Pass
2017,Morgan Stanley,Severely Adverse,6.138271729902259,8.800532296682912,59.298927630829546,56.72324005995516,Pass
2018,Bank of America,Baseline,1.2780362045977527,12.574314751956463,30.851751546439047,19.48138442404008,Pass
2018,Bank of America,Adverse,4.960884740302565,7.3978960553513815,22.633289163331863,79.98264018297868,Conditional
2018,Bank of America,Severely Adverse,7.582760149067997,7.068404878813972,20.463648609209915,68.67515089894093,Pass
2018,JPMorgan,Baseline,1.749072708266058,12.18911695423039,32.85925918729789,10.389856577580826,Pass
2018,JPMorgan,Adverse,3.9702625365928004,9.242702799242267,28.333140489442936,12.805741798477174,Conditional
2018,JPMorgan,Severely Adverse,6.856658665088357,6.474787060273323,32.07437549556786,53.18293552584198,Pass
2018,Citigroup,Baseline,1.5893739757164256,12.437069781349095,46.84617273933311,13.065648298759921,Pass
2018,Citigroup,Adverse,4.674359362314736,9.987051174027206,53.50466644750672,23.62220601718544,Pass
2018,Citigroup,Severely Adverse,7.872129810672387,9.29219862979395,58.373991172792834,62.22990781619056,Pass
2018,Wells Fargo,Baseline,1.9331593709043935,11.353233028680712,59.94064629720682,19.391519698090015,Conditional
2018,Wells Fargo,Adverse,3.140986593633259,8.30919728124856,49.75285662912548,52.722071540859055,Conditional
2018,Wells Fargo,Severely Adverse,6.938896162968353,6.607393664221936,22.576492901598225,54.075256600654164,Pass
2018,Goldman Sachs,Baseline,0.40831000821675056,10.859250280251885,32.89686144592037,17.24948664076868,Pass
2018,Goldman Sachs,Adverse,3.961466329688145,8.617729504782488,43.22657182585672,78.03211320385861,Pass
