Date,Risk_Score,Exam_Finding_Count,MRA_Count,MRIA_Count,Remediation_Pct,Bank,Risk_Score_30d,Risk_Score_90d,Risk_Trend,Regulatory_Health_Score
2016-02-03 05:41:59.816244,38.57486187603505,11,12,4,0.8415492166999716,Wells Fargo,,,,61.42513812396495
2016-02-04 05:41:59.816244,39.96797620616954,16,9,5,0.8325603295820205,Wells Fargo,,,,60.03202379383046
2016-02-05 05:41:59.816244,46.49920892532579,20,11,5,0.8560778310744439,Wells Fargo,,,,53.50079107467421
2016-02-06 05:41:59.816244,44.60511915849886,18,13,12,0.8252043285829258,Wells Fargo,,,,55.39488084150114
2016-02-07 05:41:59.816244,44.45401961421439,23,10,12,0.8255525589031505,Wells Fargo,,,,55.54598038578561
2016-02-08 05:41:59.816244,34.45944612566575,11,15,9,0.8303617551983787,Wells Fargo,,,,65.54055387433425
2016-02-09 05:41:59.816244,48.254685709612275,29,16,12,0.8175558788171216,Wells Fargo,,,,51.745314290387725
2016-02-10 05:41:59.816244,31.47871910769461,12,16,9,0.8565272421768432,Wells Fargo,,,,68.52128089230538
2016-02-11 05:41:59.816244,41.44346418237275,16,14,4,0.8022714129380908,Wells Fargo,,,,58.55653581762725
2016-02-12 05:41:59.816244,35.459069029463194,16,11,4,0.8193305560255257,Wells Fargo,,,,64.5409309705368
2016-02-13 05:41:59.816244,42.30478150303429,17,24,10,0.7967503089931126,Wells Fargo,,,,57.69521849696571
2016-02-14 05:41:59.816244,41.70507499104268,19,16,12,0.8233693235658273,Wells Fargo,,,,58.29492500895732
2016-02-15 05:41:59.816244,34.95946972589003,20,13,4,0.8353629419116364,Wells Fargo,,,,65.04053027410997
2016-02-16 05:41:59.816244,51.29609974544852,19,14,10,0.8145094246069682,Wells Fargo,,,,48.70390025455148
2016-02-17 05:41:59.816244,36.25031832085638,15,8,2,0.8348763163489817,Wells Fargo,,,,63.74968167914362
2016-02-18 05:41:59.816244,41.62401542663965,9,16,12,0.8224818243853294,Wells Fargo,,,,58.37598457336035
2016-02-19 05:41:59.816244,32.19617930759591,12,7,10,0.8140986191919719,Wells Fargo,,,,67.80382069240409
2016-02-20 05:41:59.816244,42.77915363768719,24,18,12,0.8486269273817728,Wells Fargo,,,,57.22084636231281
2016-02-21 05:41:59.816244,33.190845779055394,16,11,7,0.7853498601408718,Wells Fargo,,,,66.8091542209446
2016-02-22 05:41:59.816244,46.086846997582434,30,14,5,0.8195901977792157,Wells Fargo,,,,53.913153002417566
2016-02-23 05:41:59.816244,35.07690041708719,18,13,6,0.8547791094631331,Wells Fargo,,,,64.92309958291281
2016-02-24 05:41:59.816244,46.613860640042176,24,12,14,0.796650393008964,Wells Fargo,,,,53.386139359957824
2016-02-25 05:41:59.816244,37.313650914136424,21,15,8,0.8007036649419689,Wells Fargo,,,,62.686349085863576
2016-02-26 05:41:59.816244,33.42619423477822,21,8,8,0.8444302490749009,Wells Fargo,,,,66.57380576522178
2016-02-27 05:41:59.816244,44.96801920941451,19,11,10,0.8309878436684608,Wells Fargo,,,,55.03198079058549
2016-02-28 05:41:59.816244,42.125012094378725,16,12,6,0.7956782972141221,Wells Fargo,,,,57.874987905621275
2016-02-29 05:41:59.816244,41.89641783454753,30,13,8,0.8186284245858289,Wells Fargo,,,,58.10358216545247
2016-03-01 05:41:59.816244,46.26246384370576,28,18,13,0.8366398006574436,Wells Fargo,,,,53.73753615629424
2016-03-02 05:41:59.816244,40.37668076519643,17,4,7,0.816276697409737,Wells Fargo,,,,59.62331923480357
2016-03-03 05:41:59.816244,50.88306742548874,32,19,20,0.8313295533834341,Wells Fargo,40.88438742495534,,,49.11693257451126
2016-03-04 05:41:59.816244,50.20610726723946,36,17,5,0.8461354083052026,Wells Fargo,41.272095604662155,,,49.79389273276054
2016-03-05 05:41:59.816244,39.95783677997398,25,18,6,0.8080941409079905,Wells Fargo,41.27175762378898,,,60.04216322002602
2016-03-06 05:41:59.816244,38.04651832906653,25,10,3,0.8024539053959581,Wells Fargo,40.990001270580336,,,61.95348167093347
2016-03-07 05:41:59.816244,46.34967431904538,18,14,7,0.8192212990658169,Wells Fargo,41.048153109265215,,,53.65032568095462
2016-03-08 05:41:59.816244,42.09147158426671,19,21,4,0.8382261441115115,Wells Fargo,40.96940150826696,,,57.90852841573329
2016-03-09 05:41:59.816244,36.8213379085998,20,9,12,0.8391866935985053,Wells Fargo,41.04813123436476,,,63.1786620914002
2016-03-10 05:41:59.816244,42.51762925342099,11,13,14,0.8509804890971994,Wells Fargo,40.856896019158384,,,57.48237074657901
2016-03-11 05:41:59.816244,43.83358903327659,26,15,8,0.8356577477437286,Wells Fargo,41.268725016677784,,,56.16641096672341
2016-03-12 05:41:59.816244,41.34709432702469,27,9,11,0.8478236302142721,Wells Fargo,41.26551268816618,,,58.65290567297531
