Date,State,GGR_M,BetMGM_Share_Pct,Market_Maturity
2021-02-28 06:02:51.543693,New Jersey,220.01978771651022,23.49108543058121,Mature
2021-02-28 06:02:51.543693,Pennsylvania,185.16894345027902,24.522860297026387,Growing
2021-02-28 06:02:51.543693,Michigan,32.63251508186634,22.452508075209074,Growing
2021-02-28 06:02:51.543693,West Virginia,29.404903740261204,18.392817057165118,Growing
2021-02-28 06:02:51.543693,Connecticut,66.4809372219481,29.638825539593423,Growing
2021-02-28 06:02:51.543693,Delaware,25.69270519919568,19.55715395860606,Mature
2021-03-31 06:02:51.543693,New Jersey,67.35504982679224,17.840648182198375,Mature
2021-03-31 06:02:51.543693,Pennsylvania,89.04462178732771,26.49643247953653,Growing
2021-03-31 06:02:51.543693,Michigan,77.8476936294963,28.75755451029888,Growing
2021-03-31 06:02:51.543693,West Virginia,34.99661839792775,27.161967730960832,Growing
2021-03-31 06:02:51.543693,Connecticut,34.407685001952,27.87604611829651,Growing
2021-03-31 06:02:51.543693,Delaware,42.61987553730882,20.789544502434417,Mature
2021-04-30 06:02:51.543693,New Jersey,72.73034520238886,18.313411080296063,Mature
2021-04-30 06:02:51.543693,Pennsylvania,109.39128081261957,25.633152906617433,Growing
2021-04-30 06:02:51.543693,Michigan,72.08624534699442,28.08767594483631,Growing
2021-04-30 06:02:51.543693,West Virginia,57.19280248536612,17.975593451654273,Growing
2021-04-30 06:02:51.543693,Connecticut,29.688844509235977,20.493870310329328,Growing
2021-04-30 06:02:51.543693,Delaware,30.469480113916237,21.46939617100952,Mature
2021-05-31 06:02:51.543693,New Jersey,173.4015701194457,18.76615634763503,Mature
2021-05-31 06:02:51.543693,Pennsylvania,184.02588340151914,19.60377152072228,Growing
2021-05-31 06:02:51.543693,Michigan,81.82409987445924,27.80337197594977,Growing
2021-05-31 06:02:51.543693,West Virginia,54.5938954326258,26.13168580705216,Growing
2021-05-31 06:02:51.543693,Connecticut,80.71486718668953,22.877940609828975,Growing
2021-05-31 06:02:51.543693,Delaware,38.241710891658926,24.058183817306688,Mature
2021-06-30 06:02:51.543693,New Jersey,80.7843908457646,19.037632763726762,Mature
2021-06-30 06:02:51.543693,Pennsylvania,47.59341451476,19.732987779005988,Growing
2021-06-30 06:02:51.543693,Michigan,120.25381730814483,25.648739321424806,Growing
2021-06-30 06:02:51.543693,West Virginia,21.319422865549168,18.826795971496196,Growing
2021-06-30 06:02:51.543693,Connecticut,23.341438013705563,28.045896434906567,Growing
2021-06-30 06:02:51.543693,Delaware,26.356519432281633,29.47106442914419,Mature
2021-07-31 06:02:51.543693,New Jersey,81.51456044476654,15.429455526786052,Mature
2021-07-31 06:02:51.543693,Pennsylvania,140.81868726307272,16.445793481757278,Growing
2021-07-31 06:02:51.543693,Michigan,75.85492705551871,20.945807337803537,Growing
2021-07-31 06:02:51.543693,West Virginia,12.116491359959284,16.6323521095515,Growing
2021-07-31 06:02:51.543693,Connecticut,32.527762002873445,28.928802695327096,Growing
2021-07-31 06:02:51.543693,Delaware,23.827885421346256,23.481000238864326,Mature
2021-08-31 06:02:51.543693,New Jersey,100.13816230087463,29.321996595855605,Mature
2021-08-31 06:02:51.543693,Pennsylvania,53.16957796119045,29.61683044547875,Growing
2021-08-31 06:02:51.543693,Michigan,75.13032706855114,17.94312016877357,Growing
2021-08-31 06:02:51.543693,West Virginia,12.938221452093087,17.646335988582855,Growing
2021-08-31 06:02:51.543693,Connecticut,74.66654805825969,24.25554601585065,Growing
2021-08-31 06:02:51.543693,Delaware,39.6003916932827,19.969990043369126,Mature
2021-09-30 06:02:51.543693,New Jersey,48.62649392195221,26.975669418322187,Mature
2021-09-30 06:02:51.543693,Pennsylvania,166.6841175936887,28.98688395000548,Growing
2021-09-30 06:02:51.543693,Michigan,63.596312251141256,23.88016010922577,Growing
2021-09-30 06:02:51.543693,West Virginia,19.751142989107407,19.366485349774504,Growing
