Date,Merchants_M,GMV_B,Subscription_Revenue_M,Merchant_Solutions_M,Take_Rate_Pct
2016-03-31 06:08:08.640331,0.9716985500573935,38.08071547688354,379.87753174823035,627.5076132803302,3.4031805191838926
2016-06-30 06:08:08.640331,1.0906639879399358,59.56061545358382,350.4781170975947,981.4223947319857,2.622075244054354
2016-09-30 06:08:08.640331,1.1695644128414082,36.27234904941968,537.7975632135411,1065.945068226359,3.1461436720457936
2016-12-31 06:08:08.640331,1.2105118220228408,86.7421416329468,576.4153672175274,976.0322680008087,2.5389125701720365
2017-03-31 06:08:08.640331,1.3471532245693867,84.8620202669473,292.39698416924494,1177.6410122196903,2.779458605748996
2017-06-30 06:08:08.640331,1.5039151779212825,45.04827987886008,353.2495744926098,1397.326739939062,2.9448874737319457
2017-09-30 06:08:08.640331,1.529504385700949,122.66574018462208,707.6355349459667,908.5485374238364,3.020677839152701
2017-12-31 06:08:08.640331,1.8158132048516245,128.23513302186223,430.35211068566815,1011.7870390517235,2.655157379248369
2018-03-31 06:08:08.640331,1.7552770093442378,111.70231056480102,494.90867512020003,1841.2686323864868,3.3446826748489467
2018-06-30 06:08:08.640331,1.9653579799588892,127.95650948431427,592.1171945877634,1636.6266111260716,2.676051810226301
2018-09-30 06:08:08.640331,2.1921453696483097,105.24369754943457,499.45561721156764,1152.565114220533,3.0245653034961744
2018-12-31 06:08:08.640331,2.325406773838,78.7737699357294,1098.1699984590016,1804.823780964467,3.434381052805985
2019-03-31 06:08:08.640331,2.487026613134143,162.61832651357497,871.5603710968725,2286.877348940096,2.802313062076016
2019-06-30 06:08:08.640331,2.5856704884874437,157.01478146634742,892.8395323647079,1663.7835120405912,3.198085729635374
2019-09-30 06:08:08.640331,3.0150773325389375,143.8650561533451,1130.7582378784707,2272.5253018660765,2.8146299019920407
2019-12-31 06:08:08.640331,3.025956077773595,212.40427377153108,1052.06549481927,2908.720964098031,3.495083600740947
2020-03-31 06:08:08.640331,3.5000805264417356,228.01217757505916,1019.2938958120303,3405.0339914737165,3.072509478956263
2020-06-30 06:08:08.640331,3.7843952999095807,118.2182153959678,1297.0795459230985,1720.6746847363868,2.994663331963262
2020-09-30 06:08:08.640331,4.308684316880265,287.49954313097595,1723.1456658493978,1941.857352784063,2.7726095868074996
2020-12-31 06:08:08.640331,4.308685608186152,324.0843922905715,1528.1410772163047,2985.2385428461944,3.282852352366077
2021-03-31 06:08:08.640331,4.588536868848604,221.21229295600898,2217.399600993973,3854.9915011720104,3.143975195495967
2021-06-30 06:08:08.640331,5.161381384109744,290.30447444063043,2269.9946846542016,2068.254087048167,2.7305479325302846
2021-09-30 06:08:08.640331,5.206086536086462,418.07349942932393,1369.0858567328323,4249.794982489113,2.732772506090976
2021-12-31 06:08:08.640331,6.011246138974039,413.5834899216485,2098.19095150267,4565.7019264372875,3.2923265659893652
2022-03-31 06:08:08.640331,6.128972469082337,207.24513323453976,1812.959121349421,2813.1703650098407,2.8994759707003865
2022-06-30 06:08:08.640331,6.496248117525176,290.28060629582825,2918.215234126585,6706.995904616067,2.8100957481544775
2022-09-30 06:08:08.640331,7.493655610183683,563.8951306142194,2154.6970641070025,4061.997142914847,3.2380739889316468
2022-12-31 06:08:08.640331,7.866473009297083,363.7512192554408,2413.182756481182,6682.596075449604,2.9533434571825152
2023-03-31 06:08:08.640331,8.67271482646149,299.3838863949321,2925.796635231834,8114.892189686263,2.6566681679899813
2023-06-30 06:08:08.640331,9.408173345274832,315.0111867683635,2446.954716206124,9188.643494203236,3.0415943639748306
2023-09-30 06:08:08.640331,10.362199106818618,435.0363794578877,2690.5963550507663,4853.551856475001,3.4041816743540303
2023-12-31 06:08:08.640331,10.538883947905411,814.8072096930558,2671.0527148783167,4694.193055146281,3.096253647733133
2024-03-31 06:08:08.640331,11.49409743526164,480.4203971516495,4137.346341642673,11590.50476683094,3.459146759907247
2024-06-30 06:08:08.640331,12.985105318231351,779.0411480731,5283.962096386911,10632.327070020985,3.246086375693987
2024-09-30 06:08:08.640331,13.512730571601027,729.2377543106661,6704.000375383052,10285.108458065753,3.175297842817236
2024-12-31 06:08:08.640331,14.812576879445002,590.103273126844,3814.0903053334823,14192.354317217661,3.168554204225156
2025-03-31 06:08:08.640331,17.303649589342005,890.9156562252602,5673.380139641003,7265.848527468147,3.1922490418528167
2025-06-30 06:08:08.640331,16.404438830367255,1323.2835457586023,6003.955655947367,12810.299495043088,2.8506844493090178
2025-09-30 06:08:08.640331,19.403312454345766,1157.8521250568874,5577.27253845527,17207.58121415656,3.344470456608995
2025-12-31 06:08:08.640331,20.151050250284253,1170.5173273403952,6350.845667199702,17586.56711409038,3.1547325568093583
