Date,Net_Revenue_B,US_Revenue_B,International_Revenue_M,Active_Customers_M,LTM_Net_Revenue_Per_Customer
2016-03-31 06:08:08.608272,3.5059833437657337,2.045667396423365,281.1590600610382,33.197664008682416,429.9974007557486
2016-06-30 06:08:08.608272,3.1060547209016045,2.4099080585623223,388.1036310731516,35.62727859088689,535.6938393315709
2016-09-30 06:08:08.608272,3.612625286195502,2.19909392671135,534.4293437188777,29.806541616232572,536.31775793612
2016-12-31 06:08:08.608272,2.9935815131148438,2.1156645530344265,422.6836291286186,39.61844263553046,544.1518054495551
2017-03-31 06:08:08.608272,3.3179476191074304,2.9082031758694864,277.1502922534437,22.268913689998005,464.9044441278902
2017-06-30 06:08:08.608272,3.690151318578514,3.1472774330814657,376.827143935884,31.02606945330157,586.2213643381629
2017-09-30 06:08:08.608272,3.40355980333281,2.805725899617848,335.42379828628475,38.69613361836028,446.51524575442653
2017-12-31 06:08:08.608272,3.1224507244752404,2.30667878512629,428.0485323363538,22.707489953858385,595.7041116268532
2018-03-31 06:08:08.608272,3.366702565959214,2.949683453983418,225.45774329246257,21.328241535379842,565.6143285190627
2018-06-30 06:08:08.608272,3.5942075381124052,2.03370532468609,499.6543641661876,28.428490265445596,597.0576945449295
2018-09-30 06:08:08.608272,2.9834234364800754,2.657505874710828,412.6400210426079,28.83739073113825,585.0003042177977
2018-12-31 06:08:08.608272,3.8111085373909828,2.73730879182085,465.74793792721846,38.98095615614195,511.20955618663555
2019-03-31 06:08:08.608272,2.6275044099865634,2.352733699508614,470.71187440721275,39.161662222826195,588.177391822777
2019-06-30 06:08:08.608272,3.130542456399653,2.748325765315545,341.93091971186595,27.04088075959625,455.0982654541381
2019-09-30 06:08:08.608272,2.737575180701038,2.1452784643587135,577.7588125555093,34.56892114701133,407.1555439718416
2019-12-31 06:08:08.608272,2.9324756231694615,2.8343102128755944,594.7531109908147,34.83557129266704,433.3803370859145
2020-03-31 06:08:08.608272,4.738768988598427,4.054695612378299,597.8481687270835,33.10154164975918,449.5639636244688
2020-06-30 06:08:08.608272,4.078682331090459,4.319482670578871,301.2950072299282,58.186101654968844,404.51031265663767
2020-09-30 06:08:08.608272,5.815395791784445,4.473175622908413,239.6374027923235,50.71807069568616,400.39729921821373
2020-12-31 06:08:08.608272,4.243813358244302,3.8572187582673596,371.8170903307663,55.00595464775466,435.56146409880625
2021-03-31 06:08:08.608272,5.08307435177895,4.587336582693388,423.44102553891724,58.57033123201783,485.6764883687507
2021-06-30 06:08:08.608272,5.646002992048369,3.565675358014856,230.43464394547098,36.04459436159212,547.7168144967435
2021-09-30 06:08:08.608272,4.124962675791695,5.045676001002064,210.60178241497863,52.995152135297815,597.2117014664202
2021-12-31 06:08:08.608272,5.1879396277259,4.279403357886629,510.0018172310022,62.963106397853906,552.3037316556131
2022-03-31 06:08:08.608272,3.1494133644861164,2.3835118239861584,562.4829357722273,38.791844377513144,588.4879428230588
2022-06-30 06:08:08.608272,3.2358441874717148,1.8745087791730985,594.4625914991095,32.24518917447228,488.234219828195
2022-09-30 06:08:08.608272,2.373851925403022,2.03594613970522,446.6155992981709,21.78957828667478,573.7652875065122
2022-12-31 06:08:08.608272,2.85885945228925,2.6836947262086257,286.68389436944074,36.280068105746096,542.1532857612998
2023-03-31 06:08:08.608272,3.0018618025218218,2.459669812583119,388.14435337004585,34.83917800367596,584.8117374752185
2023-06-30 06:08:08.608272,2.8192167573242917,2.4877877957184142,429.14503073055573,21.984750733790012,523.7874360491688
2023-09-30 06:08:08.608272,3.063492831721923,2.6610525022653464,407.3746555215525,24.038577682938385,541.9700458493079
2023-12-31 06:08:08.608272,3.102800014608847,2.012473177844009,566.0737843101385,32.344278794680115,467.9237481403435
2024-03-31 06:08:08.608272,2.3820317794024413,1.833397907882871,542.4786980995896,22.103683624885825,404.99221308084867
2024-06-30 06:08:08.608272,2.7940926596072506,2.2833724455213424,309.5525585085063,22.9202471609938,463.63230710146786
2024-09-30 06:08:08.608272,3.3002309250262467,2.5914899002813265,385.03843805027833,21.901059573306007,455.4476276994121
2024-12-31 06:08:08.608272,2.695183276371461,1.965155002882236,490.72558911086657,34.00631737872142,534.1386769194486
2025-03-31 06:08:08.608272,2.9744974886744404,2.1539526636303883,293.72007212812224,34.404214157672406,437.9870501923585
2025-06-30 06:08:08.608272,2.172845420572446,2.292952173810442,466.5533653691202,34.24570661648841,516.1852028894159
2025-09-30 06:08:08.608272,3.318688276168878,2.2266629884849185,455.6560618017797,26.179006445170337,573.3760366176576
2025-12-31 06:08:08.608272,3.146640901099136,1.7139193900406693,526.6832100988287,31.3184627874532,579.2370620108929
