Date,Platform,Revenue_M,DAU_M,Avg_Session_Min,ARPPU
2021-02-28 06:05:36.715929,PC,646.9792843115425,16.135248397852855,78.70831869040148,19.40564573906118
2021-02-28 06:05:36.715929,PlayStation,283.0821253499158,7.6067909332057475,35.3686949993582,49.58782979623878
2021-02-28 06:05:36.715929,Xbox,367.66186452518633,17.916910670190408,41.81330982463423,16.967866134710746
2021-02-28 06:05:36.715929,Nintendo,117.92341778534431,8.48741882406743,43.353522525812245,13.917216689890868
2021-02-28 06:05:36.715929,Mobile,670.3565189898394,8.676614951573724,74.1420902441583,31.789252009591742
2021-03-31 06:05:36.715929,PC,556.0763682361207,16.088472434740893,36.4019914085994,47.17706549530826
2021-03-31 06:05:36.715929,PlayStation,660.2942362685643,16.283842492086507,56.69688488907254,40.877852319717356
2021-03-31 06:05:36.715929,Xbox,486.13608833073596,17.47192117104908,68.96528788901213,35.693952013772815
2021-03-31 06:05:36.715929,Nintendo,220.02058189499138,3.363173836350895,65.28579603094721,28.922804736895774
2021-03-31 06:05:36.715929,Mobile,519.5937751302084,18.679632896614148,86.61350340022848,33.32176717903673
2021-04-30 06:05:36.715929,PC,474.5743817832,7.671395792191175,73.53872474407179,25.32197154392906
2021-04-30 06:05:36.715929,PlayStation,712.3066588637449,18.308307745175405,60.7746177250832,15.260007740987591
2021-04-30 06:05:36.715929,Xbox,371.32865579945667,8.757721629383292,83.5984854026132,27.8434477356141
2021-04-30 06:05:36.715929,Nintendo,144.03697854863907,8.935321554776925,52.07320413586215,48.866910964162216
2021-04-30 06:05:36.715929,Mobile,747.0467693887622,35.71737245098858,31.319845804668873,29.05680681534816
2021-05-31 06:05:36.715929,PC,687.5728433725519,20.46774280584996,78.01595700267389,40.153920316546696
2021-05-31 06:05:36.715929,PlayStation,538.9739382284178,25.405430297852902,44.626071494743314,26.040391683126636
2021-05-31 06:05:36.715929,Xbox,335.39286524262457,8.898328074332763,72.06611246561305,33.23073832540078
2021-05-31 06:05:36.715929,Nintendo,200.3995604091785,4.09132547042177,79.59961547753063,35.75584399607993
2021-05-31 06:05:36.715929,Mobile,528.5198231248118,12.526444697301999,64.59979529463595,18.195450994627322
2021-06-30 06:05:36.715929,PC,647.39440782335,9.595820322261687,59.20563674068146,32.816417735087946
2021-06-30 06:05:36.715929,PlayStation,349.0170550868535,23.457333373333224,83.9654348339986,39.5494379685787
2021-06-30 06:05:36.715929,Xbox,356.2228053526104,19.82667133776418,36.11896378757822,31.926813533549844
2021-06-30 06:05:36.715929,Nintendo,235.65520342993742,5.811459078226733,59.210284814166926,41.580948298403634
2021-06-30 06:05:36.715929,Mobile,752.7215209453606,27.563982275481766,56.18539707942116,23.199950485376853
2021-07-31 06:05:36.715929,PC,569.1330995145937,18.22513792562397,87.21312960898598,19.369413860433266
2021-07-31 06:05:36.715929,PlayStation,640.8253292874859,13.231028292646515,39.49586580842041,32.44832831866348
2021-07-31 06:05:36.715929,Xbox,332.588038602498,15.188246317868174,45.075356144594025,43.27305304679718
2021-07-31 06:05:36.715929,Nintendo,215.56157909942587,4.305272829403139,76.31336931315127,24.296086926001273
2021-07-31 06:05:36.715929,Mobile,929.1116507877022,21.34033366033669,75.7342510582179,40.696942976376384
2021-08-31 06:05:36.715929,PC,589.7327057581849,26.266169129178238,70.02029077757854,20.135143572344603
2021-08-31 06:05:36.715929,PlayStation,372.86947785700494,18.641691078240505,46.99473423935331,22.25788786437589
2021-08-31 06:05:36.715929,Xbox,294.565395937896,13.8783453511255,45.61744476974228,23.46167623532923
2021-08-31 06:05:36.715929,Nintendo,150.71326282506016,5.674303973435799,55.39786554031594,24.529686639085902
2021-08-31 06:05:36.715929,Mobile,745.6542415216026,16.065305982429237,52.716321072505295,44.94946087433294
2021-09-30 06:05:36.715929,PC,671.0953086012171,5.412062170681605,49.758075370421444,11.213457405895992
2021-09-30 06:05:36.715929,PlayStation,326.2850787114742,9.316177220925043,42.8936449121577,20.140533685337843
2021-09-30 06:05:36.715929,Xbox,368.3210885172848,18.96240556170545,83.17906678080682,38.74007890681613
2021-09-30 06:05:36.715929,Nintendo,203.04150829175302,7.499612312691906,86.13053643439623,27.74496265652587
2021-09-30 06:05:36.715929,Mobile,419.71395238378534,19.39444676897878,72.56041760183301,12.817228449679426
2021-10-31 06:05:36.715929,PC,519.3225267135814,24.860746086845875,66.40396787349736,49.65622819938195
2021-10-31 06:05:36.715929,PlayStation,675.3765133264377,6.958671477486787,72.7055058607183,28.10687239813744
2021-10-31 06:05:36.715929,Xbox,295.9308169681714,14.81476261604535,73.50217959944494,22.548572010580152
2021-10-31 06:05:36.715929,Nintendo,150.1349593477391,6.554066451040939,60.25150006062138,21.924789513355098
2021-10-31 06:05:36.715929,Mobile,957.4342742603811,8.011581616183213,33.46846731319913,38.17809912718425
2021-11-30 06:05:36.715929,PC,695.7332798552285,12.148128266972083,48.57944446493788,21.11035096790822
2021-11-30 06:05:36.715929,PlayStation,371.9052062423945,9.74372506320876,53.35586764655519,37.97588691496189
2021-11-30 06:05:36.715929,Xbox,393.39965154100315,11.603848702940368,50.038390916255786,18.853263137111085
2021-11-30 06:05:36.715929,Nintendo,131.3107294403477,8.625299247019138,69.41440480146201,14.17461438006117
2021-11-30 06:05:36.715929,Mobile,788.4187027161155,19.73738666764865,56.07623705797723,47.58848211407659
2021-12-31 06:05:36.715929,PC,302.72367669126237,25.63113483516025,65.36909624577191,49.83414975185619
2021-12-31 06:05:36.715929,PlayStation,556.7931725669814,10.194930044122364,49.211988491998234,22.425443581269917
2021-12-31 06:05:36.715929,Xbox,422.7860687785353,6.224335297470084,59.631612312349056,28.843459240361746
2021-12-31 06:05:36.715929,Nintendo,156.92030520129367,7.47666442619968,86.78566885764742,30.487461650754927
2021-12-31 06:05:36.715929,Mobile,416.4230360127943,14.20844708772818,48.579805776987364,44.86433361514355
2022-01-31 06:05:36.715929,PC,649.6429352902005,24.33404379206842,71.65201465977258,13.246572587674809
2022-01-31 06:05:36.715929,PlayStation,524.3021075444518,12.055891148158363,62.44408364874304,25.453066931050813
2022-01-31 06:05:36.715929,Xbox,475.3321124295222,17.42903333566919,53.50722437983377,45.93331658619574
2022-01-31 06:05:36.715929,Nintendo,163.3175490068008,3.928594380026193,84.87195203092871,32.81065939447346
2022-01-31 06:05:36.715929,Mobile,894.7949081239169,14.65791649263301,58.20088636924041,11.232478461539541
2022-02-28 06:05:36.715929,PC,767.2905399485146,17.712030836875368,62.68727960360538,37.05692353142813
2022-02-28 06:05:36.715929,PlayStation,311.71998435739397,8.21214503923876,42.29559608588299,12.12052584808494
2022-02-28 06:05:36.715929,Xbox,286.6239458657837,11.683279946583516,57.65415916707274,19.154792339417632
2022-02-28 06:05:36.715929,Nintendo,158.29936889909797,3.90173503883602,35.86585221510229,36.6908435377379
2022-02-28 06:05:36.715929,Mobile,722.9898978725623,21.305646572215583,88.63798198244639,47.89677385154744
