Date,RDR2_Rev_M,RDO_Players_M,Gold_Bar_Sales_M,Cumulative_Units_M
2016-03-31 06:05:36.901561,74.05180723719229,23.332544859655783,23.414301384345123,20.0
2016-06-30 06:05:36.901561,56.26625067683499,14.695424783319295,12.803414373393114,21.5
2016-09-30 06:05:36.901561,76.99940278749692,10.773338156391347,7.854587630127433,23.0
2016-12-31 06:05:36.901561,54.58652795341283,28.574656897533856,26.42016010611652,24.5
2017-03-31 06:05:36.901561,88.83862176935158,25.209880590480868,11.461664460536017,26.0
2017-06-30 06:05:36.901561,87.70705130878818,6.090459486969708,18.477568848567124,27.5
2017-09-30 06:05:36.901561,43.42344247773391,6.078759207850405,25.841894408827493,29.0
2017-12-31 06:05:36.901561,71.32969986137506,6.984812576081854,14.860899516025215,30.5
2018-03-31 06:05:36.901561,47.49233049411574,9.574915120666184,10.010532161090733,32.0
2018-06-30 06:05:36.901561,67.82429116678297,4.6264876793750895,4.79114125369037,33.5
2018-09-30 06:05:36.901561,28.340323007988836,6.116496301698608,11.191269117647058,35.0
2018-12-31 06:05:36.901561,70.51949334273617,4.376310158380114,8.177757180232359,36.5
2019-03-31 06:05:36.901561,52.45978117030712,17.199537328924755,11.240635362525502,38.0
2019-06-30 06:05:36.901561,18.565813341768497,17.499631381664415,6.157818675949339,39.5
2019-09-30 06:05:36.901561,26.383668391402498,12.09415273329856,11.840503115399917,41.0
2019-12-31 06:05:36.901561,22.131245943580453,7.405833407670318,3.712676491210002,42.5
2020-03-31 06:05:36.901561,39.32023904238784,11.319481860090985,11.09464151094407,44.0
2020-06-30 06:05:36.901561,15.271418602265376,4.0943638793048756,3.1365509934900255,45.5
2020-09-30 06:05:36.901561,11.545232569015957,4.12853013524562,8.485893757593342,47.0
2020-12-31 06:05:36.901561,30.77592212010155,7.013535243816265,1.5887739406392194,48.5
2021-03-31 06:05:36.901561,10.897540164540032,1.5665981497020853,4.352937435233066,50.0
2021-06-30 06:05:36.901561,9.372301988123482,5.2868366111302265,2.4987578068135816,51.5
2021-09-30 06:05:36.901561,7.860113417589946,6.446453699551242,2.124687671616679,53.0
2021-12-31 06:05:36.901561,11.789076572291583,3.5906990329590136,3.655034561765541,54.5
2022-03-31 06:05:36.901561,15.308878124602709,1.308660431006277,4.351014979794642,56.0
2022-06-30 06:05:36.901561,14.534088250730377,1.8059976838556642,2.3236363460021323,57.5
2022-09-30 06:05:36.901561,14.098764732254086,3.3799634896906388,1.5551584470596147,59.0
2022-12-31 06:05:36.901561,5.010668713383729,0.8068749313296193,1.5217560935445533,60.0
2023-03-31 06:05:36.901561,8.58891708550581,1.359908625560594,2.3913781572437336,60.0
2023-06-30 06:05:36.901561,9.849561016213919,2.0784902297724304,0.6748745849905183,60.0
2023-09-30 06:05:36.901561,8.603683638607013,1.4987733999139938,1.2366839540056884,60.0
2023-12-31 06:05:36.901561,4.95470644896836,2.210672500990358,2.3857484159925564,60.0
2024-03-31 06:05:36.901561,2.4667743875304406,0.6518278750042167,1.9864793102673886,60.0
2024-06-30 06:05:36.901561,4.254153932541657,1.4125632141312114,0.9724482931397478,60.0
2024-09-30 06:05:36.901561,6.2846475027842805,1.4200473105325007,1.285854586871334,60.0
2024-12-31 06:05:36.901561,5.063406398126413,0.8270707849361421,1.3471213598028997,60.0
2025-03-31 06:05:36.901561,3.231713336401817,1.1131863067174956,1.439441475381718,60.0
2025-06-30 06:05:36.901561,3.201264622441457,1.3831623959743649,0.8278677799226611,60.0
2025-09-30 06:05:36.901561,2.42853276953699,0.808321307795808,0.3198351638088319,60.0
2025-12-31 06:05:36.901561,2.4554814976840533,0.670713058648121,0.8988749288725744,60.0
