Date,Creator_Payouts_M,Active_Developers_K,Experiences_Published_M,DevEx_Rate,Avatar_Items_Sold_M
2021-02-28 06:05:36.739925,72.13470222321055,3953.2692681707044,26.552015201608477,0.35,277.57643678448045
2021-03-31 06:05:36.739925,107.20874086067548,2503.1396752737737,32.723973503621224,0.35,277.20478956462915
2021-04-30 06:05:36.739925,133.13442330113617,3480.090648355245,21.031619065884804,0.35,148.67852356544745
2021-05-31 06:05:36.739925,71.2562437492814,2814.62426620539,37.76870941760216,0.35,226.2440442969163
2021-06-30 06:05:36.739925,117.10747926584392,3472.84464224654,31.617425021512922,0.35,119.88848471513882
2021-07-31 06:05:36.739925,127.70827165177914,3864.647296583068,30.113625959395975,0.35,251.6423339345662
2021-08-31 06:05:36.739925,139.60782637322586,3366.7815334842835,25.712095873586286,0.35,255.8330066001312
2021-09-30 06:05:36.739925,81.74945852778144,2473.314283718355,38.43641639481249,0.35,141.36563027202988
2021-10-31 06:05:36.739925,71.9638376826424,2635.706375751893,38.68111546146034,0.35,129.43496094700183
2021-11-30 06:05:36.739925,84.76868942198902,2487.192313988072,28.44746653436618,0.35,161.1265249655368
2021-12-31 06:05:36.739925,131.96485566575154,3313.099618593385,21.22873068159098,0.35,210.60350916598617
2022-01-31 06:05:36.739925,121.22123685595322,3277.3068959894085,26.78696307936037,0.35,284.4974490030268
2022-02-28 06:05:36.739925,119.16274272445031,2718.587641378915,32.78054506186513,0.35,285.6253348164136
2022-03-31 06:05:36.739925,130.7481145161507,3319.876634427964,29.331209105834567,0.35,289.1475137242579
2022-04-30 06:05:36.739925,137.2627041215695,3266.245238436346,27.889088373369383,0.35,232.7091937266816
2022-05-31 06:05:36.739925,134.23964786760186,3683.3439845597263,36.6745738679195,0.35,222.8840769635785
2022-06-30 06:05:36.739925,80.3858279401252,3880.765321845463,26.027978336137384,0.35,286.027829637586
2022-07-31 06:05:36.739925,62.53897684142784,2761.031336757465,28.458311970412524,0.35,164.99830129660094
2022-08-31 06:05:36.739925,86.75738580729029,3554.201095426521,26.070058826132392,0.35,216.42300414093623
2022-09-30 06:05:36.739925,88.91274236478024,2157.920031197032,24.47183916099742,0.35,277.72781514033613
2022-10-31 06:05:36.739925,143.88835135223488,3368.2035087837426,34.114068878975175,0.35,161.0519434294548
2022-11-30 06:05:36.739925,127.37143070324701,3250.7480237343198,28.675474468282086,0.35,183.87460455483713
2022-12-31 06:05:36.739925,135.25636018102605,2080.8306021680155,38.20957940593475,0.35,258.04745219609856
2023-01-31 06:05:36.739925,142.39691431151843,3358.702206253023,38.39645792954673,0.35,137.47691047141967
2023-02-28 06:05:36.739925,101.69024044669189,2441.1254385633024,29.215345925400932,0.35,122.62166260759196
2023-03-31 06:05:36.739925,117.52619224886665,3162.434476169969,38.90193856688215,0.35,215.6375179614868
2023-04-30 06:05:36.739925,60.24255172712033,2568.866964509674,22.094658248658735,0.35,101.64517151185855
2023-05-31 06:05:36.739925,114.89184146208686,2350.345999234784,31.216418624646415,0.35,120.4733487581249
2023-06-30 06:05:36.739925,90.22645404733119,3454.451009308029,34.2493292784485,0.35,254.25778404806948
2023-07-31 06:05:36.739925,105.91328534291422,2566.468966563896,24.290345172675988,0.35,144.13429616480812
2023-08-31 06:05:36.739925,77.4142334116766,2311.3482056216353,35.27800200985218,0.35,229.2251624216936
