Date,Wells_Drilled,Completed_Wells,DUC_Count,Avg_Well_Cost_M,IP30_BOED,EUR_MBOE
2021-02-28 06:11:47.494951,58,49,229,5.430234265699606,1319.0474508140596,477.70701233141665
2021-03-31 06:11:47.494951,45,29,213,5.804237347177446,1314.3842534015698,748.620950906503
2021-04-30 06:11:47.494951,39,55,213,8.385204394902855,852.7975156736564,523.7257936154497
2021-05-31 06:11:47.494951,72,56,208,6.308059086118028,1401.8307986684829,755.0953928293571
2021-06-30 06:11:47.494951,41,31,173,8.371511723575198,1034.0133954923533,703.0673653403488
2021-07-31 06:11:47.494951,37,29,141,9.368303726595943,1455.6237162431473,601.6438114888832
2021-08-31 06:11:47.494951,70,52,288,8.267001479466336,1197.2730869770846,467.3489878255882
2021-09-30 06:11:47.494951,34,53,125,7.7433335879418035,1038.3555395944234,430.66430609452186
2021-10-31 06:11:47.494951,63,53,163,9.763610648682448,1139.3269444350972,487.2347830574588
2021-11-30 06:11:47.494951,74,68,258,7.825460834368209,1435.7558536732956,481.2075266645698
2021-12-31 06:11:47.494951,53,29,298,7.258420066732874,805.5199877056832,732.1164296264016
2022-01-31 06:11:47.494951,45,39,189,7.568810769715768,820.1051814989193,567.3102124497769
2022-02-28 06:11:47.494951,63,34,200,6.099946458168518,1324.3615367549457,654.6467425990315
2022-03-31 06:11:47.494951,58,63,285,7.018579565187717,1082.3162973591732,401.21500981178303
2022-04-30 06:11:47.494951,79,69,257,9.286814093589163,1186.4917692327595,546.0218780397619
2022-05-31 06:11:47.494951,71,48,189,9.91604590569884,977.5776932738023,604.1616984823811
2022-06-30 06:11:47.494951,48,26,280,5.9518684700725775,1102.0216715312959,609.9907358448841
2022-07-31 06:11:47.494951,53,68,279,5.597641209919586,1328.8757069643443,490.8822059092301
2022-08-31 06:11:47.494951,60,60,214,5.741730550912746,1174.1489157234964,706.428002533425
2022-09-30 06:11:47.494951,63,39,169,5.367998893601241,1463.3414759968148,692.7187312929238
2022-10-31 06:11:47.494951,38,55,144,8.268569199389653,1470.2363500143347,760.4916025734088
2022-11-30 06:11:47.494951,65,58,155,5.446925689394834,981.9738889191464,429.6907755109088
2022-12-31 06:11:47.494951,49,28,225,5.875465343933987,1248.3093370596673,499.7138400154952
2023-01-31 06:11:47.494951,65,35,181,6.900522799021887,887.6514501741746,654.0628412794358
2023-02-28 06:11:47.494951,40,67,205,9.09465276062495,1366.403015526767,422.467294766615
2023-03-31 06:11:47.494951,61,46,229,6.043616871605754,1014.8718759140562,550.0308152540331
2023-04-30 06:11:47.494951,54,47,270,7.372982289125636,987.9895748953264,653.9757652138859
2023-05-31 06:11:47.494951,61,44,289,6.214025421172405,1185.6571811177098,642.6260557928515
