Date,Miner,Hashrate_EH,BTC_Mined,Electricity_Cost_kWh,All_In_Cost_Per_BTC,Gross_Margin,Uptime_Pct,Fleet_Efficiency_JTH
2021-03-31 05:53:36.696073,Marathon,23.32834434532131,765.0303645154654,0.035272282843193475,18776.03576913109,0.3578779397659612,0.9665991367323552,26.58861723935392
2021-03-31 05:53:36.696073,Riot,20.368175924518997,555.9423045151833,0.04037682966168651,19123.451199260508,0.40453806674769244,0.9595148792552678,33.03616352813382
2021-03-31 05:53:36.696073,CleanSpark,16.014983279171773,449.8761351522738,0.0343491250682452,31611.05592732261,0.6451719946477331,0.9213487161310284,23.087812477623483
2021-03-31 05:53:36.696073,Cipher,8.543963800044464,230.90123956137785,0.04811290161643205,33802.39855243634,0.6467251208927568,0.9783283961793496,30.150914509503405
2021-03-31 05:53:36.696073,Hut 8,6.144038511226387,211.80494420268633,0.031275944025849316,31105.9537390092,0.34449688054674893,0.9234134238049466,30.609548828489725
2021-03-31 05:53:36.696073,Core Scientific,16.56413965361371,583.2626931084294,0.04110369525394227,26365.978082009267,0.4540470177022158,0.9736653407055256,28.277308971042743
2021-06-30 05:53:36.696073,Marathon,27.21818701621596,841.8918247388129,0.04633223177144378,24070.72868581434,0.5219511477722026,0.9502277584722163,29.300573643423927
2021-06-30 05:53:36.696073,Riot,22.28516264505271,659.8560778143568,0.03198529835011383,26223.493895069147,0.4215178444886666,0.9794063744334197,30.25847851866327
2021-06-30 05:53:36.696073,CleanSpark,16.210800797297647,518.5017174401867,0.04625825796410406,19023.666529379363,0.6506594146691557,0.9555823965583842,34.64758224268879
2021-06-30 05:53:36.696073,Cipher,8.649643238675514,258.38522300312405,0.037806675170681765,15088.376015082194,0.5903417471537782,0.9639567687293039,21.855844450220978
2021-06-30 05:53:36.696073,Hut 8,6.518865579780662,189.75665609622973,0.04637508621090406,27791.942114087193,0.38047519047496636,0.9334084245693082,24.39385179342211
2021-06-30 05:53:36.696073,Core Scientific,20.025269411072017,643.3441001697884,0.052739602988643955,23261.41702473938,0.3074697371666862,0.969825406582397,28.08133752789661
2021-09-30 05:53:36.696073,Marathon,28.62936681616142,751.6099805092423,0.05109692053613819,20600.029999415237,0.3418820468519255,0.9814194079031349,29.298060806361025
