Date,Network_Hashrate_EH,Difficulty_T,Block_Reward,Daily_BTC_Issued,Avg_Block_Time_Min,Mempool_Size_MB
2021-02-02 05:53:36.687812,101.86222385019666,50.14287599619537,6.25,900.0,9.655091431164294,96.41384557185091
2021-02-03 05:53:36.687812,103.1232736866536,50.60858042999021,6.25,900.0,10.484567580247203,16.16387841436361
2021-02-04 05:53:36.687812,100.83679336796655,50.714491538900475,6.25,900.0,10.78232564721395,6.1118917793397145
2021-02-05 05:53:36.687812,101.89292303422383,50.31266046966133,6.25,900.0,9.812587780875552,89.1684709649716
2021-02-06 05:53:36.687812,101.84003569358609,49.94031377461285,6.25,900.0,9.633877430443954,18.07610995747545
2021-02-07 05:53:36.687812,98.48960556869761,50.178446243394134,6.25,900.0,9.262998161230797,42.990636412315865
2021-02-08 05:53:36.687812,99.92673095169283,50.35893652723418,6.25,900.0,10.644955798826478,27.558832465707873
2021-02-09 05:53:36.687812,100.79797698503809,50.61477427764955,6.25,900.0,10.391328636174153,27.468903093105062
2021-02-10 05:53:36.687812,101.67273322442576,50.53627615253542,6.25,900.0,9.65822409576125,42.19676490368388
2021-02-11 05:53:36.687812,100.23474815076746,49.65016604705034,6.25,900.0,10.134023531626804,67.56600767386409
2021-02-12 05:53:36.687812,100.19143893491879,50.60865376113215,6.25,900.0,10.644021346372812,6.14987506397963
2021-02-13 05:53:36.687812,99.84094149631026,50.7075917340532,6.25,900.0,9.337262621559486,17.367300593449997
2021-02-14 05:53:36.687812,101.09820657888547,51.07114519775257,6.25,900.0,9.922508791430792,29.077931398065942
2021-02-15 05:53:36.687812,99.73316992619488,51.17220484707025,6.25,900.0,9.379366532570906,44.590795809687414
2021-02-16 05:53:36.687812,104.23293431577673,50.95873801253535,6.25,900.0,10.04182496176304,194.22189936341883
2021-02-17 05:53:36.687812,105.93936544494716,51.05858804061631,6.25,900.0,10.748956522135574,19.34785887046277
2021-02-18 05:53:36.687812,100.42145442038385,51.63925810146766,6.25,900.0,10.617409997064899,95.70781791692013
2021-02-19 05:53:36.687812,100.45270059940785,51.45898645210876,6.25,900.0,9.658505454988854,0.6276732728165987
2021-02-20 05:53:36.687812,102.16048434265693,50.84200397592705,6.25,900.0,10.979544260257128,15.885022917585903
2021-02-21 05:53:36.687812,102.62422070575175,51.45706892216439,6.25,900.0,9.883702558245673,13.142443319965494
2021-02-22 05:53:36.687812,100.38199071298887,52.26929089974312,6.25,900.0,9.159266906712018,23.98298237076622
2021-02-23 05:53:36.687812,103.45780965318005,51.54244902649955,6.25,900.0,9.44198637611464,14.079555636838458
2021-02-24 05:53:36.687812,106.68233762475093,52.461028764891296,6.25,900.0,9.45831781123352,6.42552945462737
2021-02-25 05:53:36.687812,104.5556073025464,51.67341691867796,6.25,900.0,9.905643499423729,13.811255322417843
2021-02-26 05:53:36.687812,103.05830396013191,51.498712213176056,6.25,900.0,9.70392927185322,8.037293986509976
2021-02-27 05:53:36.687812,107.39394543517152,52.049143139898554,6.25,900.0,9.143767658913816,109.85101759894376
2021-02-28 05:53:36.687812,108.57307156691145,52.35128310597923,6.25,900.0,10.507921923972903,38.11417098341397
2021-03-01 05:53:36.687812,100.10507411207045,51.65712060892885,6.25,900.0,9.0863835941337,1.12536129296123
2021-03-02 05:53:36.687812,104.57999668900923,52.877615759931764,6.25,900.0,10.374954826552655,38.48229506335689
2021-03-03 05:53:36.687812,103.76919739963265,52.133254470510394,6.25,900.0,10.614301755076719,101.852727503341
2021-03-04 05:53:36.687812,107.884047036204,52.28871843289301,6.25,900.0,9.845460439037211,94.31993699946351
2021-03-05 05:53:36.687812,100.30002868510599,52.31511994343229,6.25,900.0,9.160426234984643,2.7326032610831907
2021-03-06 05:53:36.687812,103.70923537735601,53.05256805691932,6.25,900.0,9.833052217702402,131.07361876093722
2021-03-07 05:53:36.687812,106.55414830715132,52.66807756548372,6.25,900.0,10.052967094112498,5.607589063015615
2021-03-08 05:53:36.687812,101.14096785098982,53.008793725267864,6.25,900.0,10.603655364103535,25.803774645477954
2021-03-09 05:53:36.687812,106.64526315240953,52.4732038629722,6.25,900.0,9.094349206230373,7.738590753152173
2021-03-10 05:53:36.687812,102.30228096343158,52.26437033952691,6.25,900.0,9.208902994021637,4.690323479355613
2021-03-11 05:53:36.687812,105.1361667349682,53.081831755694886,6.25,900.0,10.255936026505916,6.360918967471885
2021-03-12 05:53:36.687812,104.22653132134883,53.11050820477314,6.25,900.0,10.060607824649418,15.63579360828517
2021-03-13 05:53:36.687812,105.92103728068614,53.5486279209222,6.25,900.0,10.98452000614551,76.91139943715677
2021-03-14 05:53:36.687812,107.38471178389044,53.871592662907034,6.25,900.0,9.265041311451974,30.493487576779916
2021-03-15 05:53:36.687812,106.80292103215754,52.74137248558006,6.25,900.0,10.341652197800654,71.61133146062159
2021-03-16 05:53:36.687812,108.84584728915169,53.07729600019937,6.25,900.0,9.36173301767342,62.435193275657966
2021-03-17 05:53:36.687812,104.8503836517669,53.026125200000656,6.25,900.0,10.976918371257295,21.44921638728939
2021-03-18 05:53:36.687812,104.18073424543505,54.161123071090785,6.25,900.0,9.731387298858952,117.28753413662774
