Date,Network,Transaction_Type,TPV_Billions,Weight
2016-02-03 00:00:00-05:00,V,Consumer_Credit,4510.367031962861,0.35
2016-02-03 00:00:00-05:00,V,Consumer_Debit,5154.705179386128,0.4
2016-02-03 00:00:00-05:00,V,Commercial,1933.0144422697977,0.15
2016-02-03 00:00:00-05:00,V,Cross_Border,1288.676294846532,0.1
2016-02-04 00:00:00-05:00,V,Consumer_Credit,4553.789747963656,0.35
2016-02-04 00:00:00-05:00,V,Consumer_Debit,5204.331140529893,0.4
2016-02-04 00:00:00-05:00,V,Commercial,1951.6241776987097,0.15
2016-02-04 00:00:00-05:00,V,Cross_Border,1301.0827851324732,0.1
2016-02-05 00:00:00-05:00,V,Consumer_Credit,4593.809292854091,0.35
2016-02-05 00:00:00-05:00,V,Consumer_Debit,5250.067763261819,0.4
2016-02-05 00:00:00-05:00,V,Commercial,1968.775411223182,0.15
2016-02-05 00:00:00-05:00,V,Cross_Border,1312.5169408154547,0.1
2016-02-08 00:00:00-05:00,V,Consumer_Credit,4587.658429969595,0.35
2016-02-08 00:00:00-05:00,V,Consumer_Debit,5243.038205679538,0.4
2016-02-08 00:00:00-05:00,V,Commercial,1966.1393271298264,0.15
2016-02-08 00:00:00-05:00,V,Cross_Border,1310.7595514198845,0.1
2016-02-09 00:00:00-05:00,V,Consumer_Credit,4597.379505595042,0.35
2016-02-09 00:00:00-05:00,V,Consumer_Debit,5254.1480063943345,0.4
2016-02-09 00:00:00-05:00,V,Commercial,1970.3055023978754,0.15
2016-02-09 00:00:00-05:00,V,Cross_Border,1313.5370015985836,0.1
2016-02-10 00:00:00-05:00,V,Consumer_Credit,4606.177669335251,0.35
2016-02-10 00:00:00-05:00,V,Consumer_Debit,5264.20305066886,0.4
2016-02-10 00:00:00-05:00,V,Commercial,1974.076144000822,0.15
2016-02-10 00:00:00-05:00,V,Cross_Border,1316.050762667215,0.1
2016-02-11 00:00:00-05:00,V,Consumer_Credit,4645.793617174166,0.35
2016-02-11 00:00:00-05:00,V,Consumer_Debit,5309.478419627619,0.4
2016-02-11 00:00:00-05:00,V,Commercial,1991.0544073603567,0.15
2016-02-11 00:00:00-05:00,V,Cross_Border,1327.3696049069047,0.1
2016-02-12 00:00:00-05:00,V,Consumer_Credit,4630.437161334822,0.35
2016-02-12 00:00:00-05:00,V,Consumer_Debit,5291.928184382655,0.4
2016-02-12 00:00:00-05:00,V,Commercial,1984.4730691434954,0.15
2016-02-12 00:00:00-05:00,V,Cross_Border,1322.9820460956637,0.1
2016-02-16 00:00:00-05:00,V,Consumer_Credit,4661.827764639174,0.35
2016-02-16 00:00:00-05:00,V,Consumer_Debit,5327.803159587628,0.4
2016-02-16 00:00:00-05:00,V,Commercial,1997.9261848453605,0.15
2016-02-16 00:00:00-05:00,V,Cross_Border,1331.950789896907,0.1
2016-02-17 00:00:00-05:00,V,Consumer_Credit,4646.440932431602,0.35
2016-02-17 00:00:00-05:00,V,Consumer_Debit,5310.21820849326,0.4
2016-02-17 00:00:00-05:00,V,Commercial,1991.3318281849722,0.15
2016-02-17 00:00:00-05:00,V,Cross_Border,1327.554552123315,0.1
2016-02-18 00:00:00-05:00,V,Consumer_Credit,4726.518255959821,0.35
2016-02-18 00:00:00-05:00,V,Consumer_Debit,5401.735149668367,0.4
2016-02-18 00:00:00-05:00,V,Commercial,2025.6506811256374,0.15
2016-02-18 00:00:00-05:00,V,Cross_Border,1350.4337874170917,0.1
2016-02-19 00:00:00-05:00,V,Consumer_Credit,4733.932644989697,0.35
2016-02-19 00:00:00-05:00,V,Consumer_Debit,5410.208737131084,0.4
2016-02-19 00:00:00-05:00,V,Commercial,2028.828276424156,0.15
2016-02-19 00:00:00-05:00,V,Cross_Border,1352.552184282771,0.1
2016-02-22 00:00:00-05:00,V,Consumer_Credit,4705.616412539735,0.35
2016-02-22 00:00:00-05:00,V,Consumer_Debit,5377.847328616841,0.4
2016-02-22 00:00:00-05:00,V,Commercial,2016.6927482313154,0.15
2016-02-22 00:00:00-05:00,V,Cross_Border,1344.4618321542102,0.1
2016-02-23 00:00:00-05:00,V,Consumer_Credit,4733.429807009548,0.35
2016-02-23 00:00:00-05:00,V,Consumer_Debit,5409.63406515377,0.4
2016-02-23 00:00:00-05:00,V,Commercial,2028.6127744326636,0.15
2016-02-23 00:00:00-05:00,V,Cross_Border,1352.4085162884426,0.1
2016-02-24 00:00:00-05:00,V,Consumer_Credit,4740.1851609587475,0.35
2016-02-24 00:00:00-05:00,V,Consumer_Debit,5417.3544696671415,0.4
2016-02-24 00:00:00-05:00,V,Commercial,2031.5079261251776,0.15
2016-02-24 00:00:00-05:00,V,Cross_Border,1354.3386174167854,0.1
2016-02-25 00:00:00-05:00,V,Consumer_Credit,4700.9326848695055,0.35
2016-02-25 00:00:00-05:00,V,Consumer_Debit,5372.4944969937205,0.4
2016-02-25 00:00:00-05:00,V,Commercial,2014.6854363726452,0.15
2016-02-25 00:00:00-05:00,V,Cross_Border,1343.1236242484301,0.1
2016-02-26 00:00:00-05:00,V,Consumer_Credit,4767.746923791487,0.35
2016-02-26 00:00:00-05:00,V,Consumer_Debit,5448.853627190271,0.4
2016-02-26 00:00:00-05:00,V,Commercial,2043.3201101963516,0.15
2016-02-26 00:00:00-05:00,V,Cross_Border,1362.2134067975678,0.1
2016-02-29 00:00:00-05:00,V,Consumer_Credit,4779.559319813401,0.35
2016-02-29 00:00:00-05:00,V,Consumer_Debit,5462.353508358174,0.4
2016-02-29 00:00:00-05:00,V,Commercial,2048.3825656343147,0.15
2016-02-29 00:00:00-05:00,V,Cross_Border,1365.5883770895434,0.1
