date,ticker_1,ticker_2,window,correlation
2016-03-03 00:00:00-05:00,JPM,BAC,20,0.9150772613770236
2016-03-04 00:00:00-05:00,JPM,BAC,20,0.9142206374684857
2016-03-07 00:00:00-05:00,JPM,BAC,20,0.9145767626509501
2016-03-08 00:00:00-05:00,JPM,BAC,20,0.927436213750412
2016-03-09 00:00:00-05:00,JPM,BAC,20,0.9270503423846611
2016-03-10 00:00:00-05:00,JPM,BAC,20,0.9184831634590145
2016-03-11 00:00:00-05:00,JPM,BAC,20,0.9002576553136227
2016-03-14 00:00:00-04:00,JPM,BAC,20,0.878229163001592
2016-03-15 00:00:00-04:00,JPM,BAC,20,0.868821494970989
2016-03-16 00:00:00-04:00,JPM,BAC,20,0.8633299771482876
2016-03-17 00:00:00-04:00,JPM,BAC,20,0.8548902685582641
2016-03-18 00:00:00-04:00,JPM,BAC,20,0.8675022873354612
2016-03-21 00:00:00-04:00,JPM,BAC,20,0.8724168511401253
2016-03-22 00:00:00-04:00,JPM,BAC,20,0.8598485815553865
2016-03-23 00:00:00-04:00,JPM,BAC,20,0.8619245984957803
2016-03-24 00:00:00-04:00,JPM,BAC,20,0.8542899760576677
2016-03-28 00:00:00-04:00,JPM,BAC,20,0.8642804709369768
2016-03-29 00:00:00-04:00,JPM,BAC,20,0.8637159509780225
2016-03-30 00:00:00-04:00,JPM,BAC,20,0.784333482385309
2016-03-31 00:00:00-04:00,JPM,BAC,20,0.7526536091579034
2016-04-01 00:00:00-04:00,JPM,BAC,20,0.7357845583436663
2016-04-04 00:00:00-04:00,JPM,BAC,20,0.7363593399180426
2016-04-05 00:00:00-04:00,JPM,BAC,20,0.7604671411173901
2016-04-06 00:00:00-04:00,JPM,BAC,20,0.7080400356372928
2016-04-07 00:00:00-04:00,JPM,BAC,20,0.7688645429116846
2016-04-08 00:00:00-04:00,JPM,BAC,20,0.8099387312462377
2016-04-11 00:00:00-04:00,JPM,BAC,20,0.846176871731108
2016-04-12 00:00:00-04:00,JPM,BAC,20,0.8676189831589523
2016-04-13 00:00:00-04:00,JPM,BAC,20,0.908521930529685
2016-04-14 00:00:00-04:00,JPM,BAC,20,0.9101664222377501
2016-04-15 00:00:00-04:00,JPM,BAC,20,0.922219557125343
2016-04-18 00:00:00-04:00,JPM,BAC,20,0.9077900991234724
2016-04-19 00:00:00-04:00,JPM,BAC,20,0.9147911361919048
2016-04-20 00:00:00-04:00,JPM,BAC,20,0.8982546664575876
2016-04-21 00:00:00-04:00,JPM,BAC,20,0.8918948575799029
2016-04-22 00:00:00-04:00,JPM,BAC,20,0.9016992431589836
2016-04-25 00:00:00-04:00,JPM,BAC,20,0.9034632858039335
2016-04-26 00:00:00-04:00,JPM,BAC,20,0.9035710862420531
2016-04-27 00:00:00-04:00,JPM,BAC,20,0.9059296697154914
2016-04-28 00:00:00-04:00,JPM,BAC,20,0.9196638898560535
2016-04-29 00:00:00-04:00,JPM,BAC,20,0.9268499869778758
2016-05-02 00:00:00-04:00,JPM,BAC,20,0.9265164435547962
2016-05-03 00:00:00-04:00,JPM,BAC,20,0.9310057650105257
2016-05-04 00:00:00-04:00,JPM,BAC,20,0.935195640489929
2016-05-05 00:00:00-04:00,JPM,BAC,20,0.9229581077608731
2016-05-06 00:00:00-04:00,JPM,BAC,20,0.9261386916099537
2016-05-09 00:00:00-04:00,JPM,BAC,20,0.928603161734119
2016-05-10 00:00:00-04:00,JPM,BAC,20,0.9259555698603363
2016-05-11 00:00:00-04:00,JPM,BAC,20,0.9367766314168838
2016-05-12 00:00:00-04:00,JPM,BAC,20,0.9298232705208129
