Date,Crop,Subscribers_K,Alerts_Sent_K,Spray_Window_Accuracy_Pct,Frost_Alert_Accuracy_Pct
2021-02-28 06:16:13.672802,Corn,47.765390160633714,284.24410449000504,90.88063233937352,93.4919419671811
2021-02-28 06:16:13.672802,Soybeans,83.30318191600834,148.96768383308813,91.91546114229766,96.6020849802336
2021-02-28 06:16:13.672802,Wheat,52.869619345833314,71.75090779846299,93.5939760945594,90.78366275302578
2021-02-28 06:16:13.672802,Cotton,34.295103468202015,57.0548814622125,85.33244048191821,91.75081280871937
2021-02-28 06:16:13.672802,Specialty,17.592776260687067,55.94965255573916,88.20974637816938,94.23112280256692
2021-03-31 06:16:13.672802,Corn,105.31052993483199,283.2064153599998,89.46932243978941,94.08785287346822
2021-03-31 06:16:13.672802,Soybeans,71.54163783501829,163.8091186799698,92.3752971588893,94.48457816168376
2021-03-31 06:16:13.672802,Wheat,23.834119714635975,98.06170414580009,94.4412176920389,95.37742186548837
2021-03-31 06:16:13.672802,Cotton,38.45471505072343,79.68614572271706,88.98786223955416,90.51785218629519
2021-03-31 06:16:13.672802,Specialty,30.456601809834144,35.411092492226956,92.10050673397339,95.38799054992722
2021-04-30 06:16:13.672802,Corn,62.29100877979788,124.68300557485345,85.15692642631514,95.13496975642467
2021-04-30 06:16:13.672802,Soybeans,67.11154940898378,67.6403177419308,89.84109163840388,95.58488193682845
2021-04-30 06:16:13.672802,Wheat,31.605132554605667,85.99795329686702,86.27383637530542,94.62104003435799
2021-04-30 06:16:13.672802,Cotton,24.918567228345395,32.30363928648241,94.80796216514779,92.32739272224445
2021-04-30 06:16:13.672802,Specialty,15.373966499083782,73.90221134934642,91.04843917801955,91.61407625533633
2021-05-31 06:16:13.672802,Corn,76.91810235522604,153.744060358676,91.51178414951892,93.8329174297857
2021-05-31 06:16:13.672802,Soybeans,74.34181593361473,244.7794437724321,87.24647064725741,90.4053705237334
2021-05-31 06:16:13.672802,Wheat,17.01085001929316,140.77430121677952,87.7299332819536,93.42982699013677
2021-05-31 06:16:13.672802,Cotton,28.74367021055133,95.16548228264759,91.07079383666662,95.2569733101003
2021-05-31 06:16:13.672802,Specialty,9.508791121404204,59.62312342399239,85.03579319339295,96.45549752967823
2021-06-30 06:16:13.672802,Corn,70.23716883014721,84.55123503686734,88.16395666053073,94.4027539704646
2021-06-30 06:16:13.672802,Soybeans,96.16262000983967,85.61250646829464,94.6113441399007,94.73269894031364
2021-06-30 06:16:13.672802,Wheat,24.348998255441906,114.99444413550016,86.98457303314855,95.55418142754495
2021-06-30 06:16:13.672802,Cotton,44.36478419102388,61.16269596757517,88.3891526277489,94.39153945212084
2021-06-30 06:16:13.672802,Specialty,10.286441661404142,59.16340411187013,93.79630669673901,90.67508132136012
2021-07-31 06:16:13.672802,Corn,85.10675961965006,104.92886335428197,86.80599172240107,94.68033513571676
2021-07-31 06:16:13.672802,Soybeans,76.48932212997188,160.95563269838507,87.7226242709231,95.57464752797082
2021-07-31 06:16:13.672802,Wheat,59.101168518607835,130.48951080275944,85.68492931538646,96.23858959352314
2021-07-31 06:16:13.672802,Cotton,34.92801836010796,56.844301753738094,93.03407270532502,91.82470237359533
2021-07-31 06:16:13.672802,Specialty,17.62842021147786,53.824690167934186,93.87902526946209,90.68486718896231
2021-08-31 06:16:13.672802,Corn,109.61448210975533,278.3076267214486,89.80044400054314,90.71252414210623
2021-08-31 06:16:13.672802,Soybeans,62.78364224297717,95.74418215075589,90.65042484245483,93.57180995430048
2021-08-31 06:16:13.672802,Wheat,44.822057000663705,150.8011627187683,90.18679443390293,92.9240179649262
