Date,Severe_Weather_Alerts_K,MinuteCast_Usage_M,Forecast_Accuracy_Pct,RealFeel_Queries_M,Traffic_Spike_Events
2023-02-02 06:16:13.675532,61.33843004525403,15.030018845052448,86.7717245616654,42.31627790735578,4.0
2023-02-03 06:16:13.675532,70.78745368859506,8.947198637420708,89.72213864739011,27.230090125455163,7.0
2023-02-04 06:16:13.675532,33.71498252268192,6.675041625182388,91.03970578372491,27.788103401255167,7.0
2023-02-05 06:16:13.675532,96.25090293784663,7.892022970494475,87.37583448677822,59.769785182155466,2.0
2023-02-06 06:16:13.675532,75.97325325085856,17.603548572407902,92.76181733315586,59.65389225348385,4.0
2023-02-07 06:16:13.675532,69.83474853862612,14.728670670193928,90.06825078057518,50.37520899416286,7.0
2023-02-08 06:16:13.675532,22.26159274138854,13.114714616585296,80.23729330266642,44.483585909199775,4.0
2023-02-09 06:16:13.675532,12.802228987580179,11.949849389726927,89.44015273116419,23.058594533016475,7.0
2023-02-10 06:16:13.675532,37.45065677469825,12.24504147759962,83.76789091756369,57.85700012282149,0.0
2023-02-11 06:16:13.675532,22.39578200958022,8.207132117585333,83.96026500414828,39.55000802330971,9.0
2023-02-12 06:16:13.675532,94.8167423480511,15.486060457065545,90.90257933339463,26.139757557396536,2.0
2023-02-13 06:16:13.675532,48.35702507446045,11.892104180276975,80.51742346435529,26.56831216375329,8.0
2023-02-14 06:16:13.675532,21.806682552965682,9.098982776682517,86.86156923281482,33.11222592266692,2.0
2023-02-15 06:16:13.675532,62.98933235335041,6.544333441453565,93.16588216521725,52.507586766572445,9.0
2023-02-16 06:16:13.675532,79.79973514513733,9.55031824493446,88.86301850864446,36.79086527934383,1.0
2023-02-17 06:16:13.675532,42.42757597801361,14.5104573283411,84.29463629442665,51.057992772978366,5.0
2023-02-18 06:16:13.675532,46.68513615139729,17.17893383806617,82.8400820995936,21.462694685865987,9.0
2023-02-19 06:16:13.675532,15.702172590065365,12.356853276360798,82.11915438819538,38.099810133773644,7.0
2023-02-20 06:16:13.675532,90.80052242580177,12.881724378248503,83.50083905252947,25.039060008986592,6.0
2023-02-21 06:16:13.675532,46.58729110748973,11.717753959828329,82.07760127573853,51.3948286027285,1.0
2023-02-22 06:16:13.675532,92.02208674512585,14.801268955534532,94.96651165330499,49.951461481929485,1.0
2023-02-23 06:16:13.675532,82.56885622349135,14.663856240119928,84.65380197471212,23.54859866639447,6.0
2023-02-24 06:16:13.675532,61.671741699437256,16.540367313350743,85.36217559977233,35.00527548623631,9.0
2023-02-25 06:16:13.675532,18.847759708997074,14.247353122845851,94.39459526572452,48.1981571549825,9.0
2023-02-26 06:16:13.675532,90.21352018426636,12.83311646466976,86.19626875727256,59.62493775558028,0.0
2023-02-27 06:16:13.675532,37.417113470319066,12.067233278380158,90.00337569703969,46.79336439880193,1.0
2023-02-28 06:16:13.675532,44.98335340706435,10.160788750488537,87.10887468093362,24.835889124831038,4.0
2023-03-01 06:16:13.675532,68.126343603026,17.300470798514553,81.5019929029411,56.78422046829586,0.0
