Date,Total_Customers_K,Net_Subscriber_Value_B,Gross_Earning_Assets_B,Avg_Contract_Length_Years,Customer_Acquisition_Cost_K
2016-03-31 06:16:14.749835,400.0,6.600210856962579,10.27124192232601,21.764366136603115,17.064416693566614
2016-06-30 06:16:14.749835,420.0,7.364032048909549,18.726096633268902,20.829476537474527,15.82440849567863
2016-09-30 06:16:14.749835,441.0,10.339936709866196,16.34788914459989,22.83029700691229,22.191979264386397
2016-12-31 06:16:14.749835,463.05000000000007,8.738172173929662,16.16276155867795,22.71075208735835,20.434686012533486
2017-03-31 06:16:14.749835,486.2025000000001,9.808751294631527,17.10314005074447,24.222724369719373,16.11539477173816
2017-06-30 06:16:14.749835,510.5126250000001,9.867928838825938,15.740388121775386,21.963395603632268,18.803839414527367
2017-09-30 06:16:14.749835,536.0382562500001,9.279038052287518,19.769946371019316,23.600486233930603,19.66082589263931
2017-12-31 06:16:14.749835,562.8401690625002,13.46566135834963,19.422152464745054,20.298041392711664,16.13136151749365
2018-03-31 06:16:14.749835,590.9821775156252,14.597170078696434,23.40636699726761,22.311539294927815,24.326880966868522
2018-06-30 06:16:14.749835,620.5312863914065,14.430058379963882,21.170072619215148,20.26449328992521,20.92445197015202
2018-09-30 06:16:14.749835,651.5578507109768,14.84957362953578,22.03292208186031,21.271054895888195,16.287742627810164
2018-12-31 06:16:14.749835,684.1357432465256,16.766114499247337,26.322241640006393,20.964699146004715,23.701569623999656
2019-03-31 06:16:14.749835,718.342530408852,17.106676914157028,21.172982014749394,23.2812587317788,20.83559204944003
2019-06-30 06:16:14.749835,754.2596569292947,17.83138365866366,24.13918618555911,20.31702831121217,18.053109353344567
2019-09-30 06:16:14.749835,791.9726397757595,18.17947902111234,31.147839489531442,23.207089290238315,23.829824333536536
2019-12-31 06:16:14.749835,831.5712717645475,16.084791161854366,33.18153923909543,23.71086932143121,15.849022916593633
2020-03-31 06:16:14.749835,873.1498353527747,13.239871221580733,32.68133627348609,24.72523612181359,24.530346178424484
2020-06-30 06:16:14.749835,916.8073271204137,13.875367552134449,36.19737588579656,20.995623210160208,15.640999859815794
2020-09-30 06:16:14.749835,962.6476934764343,20.903515588966954,35.17642146347871,24.728973064377005,24.49831604589028
2020-12-31 06:16:14.749835,1010.7800781502561,24.288563940205805,28.302145051447148,24.198875877114467,22.220639151971806
2021-03-31 06:16:14.749835,1061.3190820577688,23.10353826511855,31.54555173778179,22.452193796239936,18.186171576473736
2021-06-30 06:16:14.749835,1114.3850361606574,18.791538385595565,47.609637843862856,24.90230131068178,23.53555694166432
2021-09-30 06:16:14.749835,1170.1042879686904,26.162848979574356,32.81077673030448,20.842193817498192,17.885931178242604
2021-12-31 06:16:14.749835,1228.6095023671248,21.840000797944274,34.289140689071246,20.511629996667246,21.110606086336677
2022-03-31 06:16:14.749835,1290.0399774854811,20.034095746939894,46.93596974433566,23.808068836676902,19.297606747422318
2022-06-30 06:16:14.749835,1354.5419763597554,26.325393293880936,43.44495506290124,21.55591094754898,24.415777865374032
2022-09-30 06:16:14.749835,1422.2690751777432,27.910845850516644,46.617013482884815,20.555063916669425,21.230552353407553
2022-12-31 06:16:14.749835,1493.3825289366305,35.70691588078181,39.09928193596155,22.223000873387754,22.02137811342748
2023-03-31 06:16:14.749835,1568.051655383462,24.976787455090662,58.97551845456093,23.368089082422205,24.83744667281875
2023-06-30 06:16:14.749835,1646.4542381526353,28.534227242478547,65.98717495426224,23.0076845158075,16.87692917306847
2023-09-30 06:16:14.749835,1728.7769500602672,32.55256703538668,58.73153988222145,21.35932073535271,16.96318556184372
2023-12-31 06:16:14.749835,1815.2157975632804,29.83685957676693,52.38992388287076,23.812035773996573,15.426541805387027
2024-03-31 06:16:14.749835,1905.9765874414445,33.52942575321256,72.80361946084683,22.52258796613308,15.438376844531321
2024-06-30 06:16:14.749835,2001.2754168135168,40.59727354005492,51.144009742987805,21.24487404834897,21.041801472748766
2024-09-30 06:16:14.749835,2101.3391876541928,32.55862476964723,78.13720593040327,21.395359584100053,18.18778130267813
2024-12-31 06:16:14.749835,2206.4061470369024,51.83151718244926,87.0066237745558,23.330885251169406,18.482022664398503
2025-03-31 06:16:14.749835,2316.7264543887477,56.63785214938578,73.40006068816959,24.741138308035413,19.795285122860346
2025-06-30 06:16:14.749835,2432.562777108185,41.730229241434515,74.10168140839745,23.51804336643953,24.29983237363848
2025-09-30 06:16:14.749835,2554.1909159635948,50.10329781404912,105.35920198084588,22.77293052171791,23.724945028623317
2025-12-31 06:16:14.749835,2681.9004617617743,61.95627962475802,100.18692029560057,24.37852296891886,18.788266414501926
