Date,PPA_Signed_MW,PPA_Price_MWh,Contract_Length_Years,Backlog_MW,Development_Pipeline_MW
2021-02-28 06:16:15.297950,692.1180683565233,40.2178824280113,21.612685457892045,21454.589155183134,32963.94169700911
2021-03-31 06:16:15.297950,1912.3666725208057,41.34417012809445,21.034113522021,19714.21551399013,43015.09593932017
2021-04-30 06:16:15.297950,1804.9792633979725,35.93493114054267,22.122316704537333,20787.23521125985,41216.01690665269
2021-05-31 06:16:15.297950,1724.703400020774,32.276762881772015,15.920220183617701,18519.350618623328,47495.99016506857
2021-06-30 06:16:15.297950,1764.3299011102654,35.08426549276717,15.499023656794868,20164.0671190808,38703.618499030934
2021-07-31 06:16:15.297950,646.4557576522959,27.206090413777645,16.310915045400662,23090.097868591718,32989.595313683596
2021-08-31 06:16:15.297950,1335.6220680112374,31.156814074996234,23.010663485426598,22128.273489138457,45161.24597449045
2021-09-30 06:16:15.297950,625.1991700630554,35.26906729206964,22.36897299745124,19746.194366605112,32936.8951154793
2021-10-31 06:16:15.297950,1617.9710023562586,25.071722714041154,22.590574496397537,18514.47011254079,35494.737298384025
2021-11-30 06:16:15.297950,1988.7178848452343,39.61667782883549,18.37736111886461,23725.91858387587,34312.96153369374
2021-12-31 06:16:15.297950,515.6958466399445,36.455036171018264,18.381630965605332,16522.67103982853,41583.92037109382
2022-01-31 06:16:15.297950,952.7614430698067,26.640218554560104,16.815051872275376,23790.37909199052,42295.9678904306
2022-02-28 06:16:15.297950,1703.765159356576,26.45207462002451,24.024707142315055,24409.465639621005,43888.1945914988
2022-03-31 06:16:15.297950,1861.9105159569983,41.90693779941919,24.839156090486583,15117.157153937162,43751.92550140242
2022-04-30 06:16:15.297950,506.3972448951101,35.066205009079546,18.22341567991744,16886.9981784633,39252.0261443092
2022-05-31 06:16:15.297950,731.2384506730962,27.837101405448617,22.45406171005261,15704.48636215155,36105.48927645877
2022-06-30 06:16:15.297950,1096.052431342655,34.02107359145996,16.220113930847585,16035.328515075966,47211.10975405198
2022-07-31 06:16:15.297950,1973.1667018125447,38.098773066415696,21.000345981913078,21760.709203000693,43260.15076248673
2022-08-31 06:16:15.297950,1375.312467804329,32.17077900502111,17.13698636057432,21048.71186762727,37854.44709410821
2022-09-30 06:16:15.297950,1727.124067233808,28.16174006475517,16.886218992927006,21306.11956340822,40808.61428945612
2022-10-31 06:16:15.297950,1035.9248715083554,33.783295768433874,17.637747655730994,19621.63920843899,30735.045687314738
2022-11-30 06:16:15.297950,1867.8996095678863,43.242320359812496,22.138503983188762,22662.215468305065,49261.300950740995
2022-12-31 06:16:15.297950,1093.4065640733709,38.033922944965525,18.463285022267158,18045.481666258172,39073.57583999618
2023-01-31 06:16:15.297950,1821.2483217524393,30.126507567853267,21.19516582350961,21932.516067542958,35127.71217123015
2023-02-28 06:16:15.297950,699.8082228001892,31.82480727486024,22.40496323767811,18608.991973186647,42224.43986623294
2023-03-31 06:16:15.297950,1247.909843572337,25.570730675755257,16.67303999381777,19843.847601681086,47344.381362387794
2023-04-30 06:16:15.297950,837.250062016449,44.25133576768389,18.275763543180275,21704.238178244177,45535.646075581695
2023-05-31 06:16:15.297950,781.7364693445244,32.06182848131989,18.248356095751134,16288.746406057802,36505.31704567918
2023-06-30 06:16:15.297950,571.6159840850037,34.16631763551105,17.947704015309643,23934.511498706135,30666.10283599064
2023-07-31 06:16:15.297950,1036.6304928403242,34.84580758054386,24.084217714774827,15515.924514169064,44111.19584282088
2023-08-31 06:16:15.297950,705.8214831465214,40.76248031817481,19.245143887821843,19687.842318222127,41966.14935608062
2023-09-30 06:16:15.297950,1683.6494896197012,34.51502355086924,20.270895528909982,16221.630490522519,37074.08974209343
2023-10-31 06:16:15.297950,1620.7102349505765,42.513001686926984,16.104963628090683,15312.92349188218,30358.80028246024
2023-11-30 06:16:15.297950,569.5973673670908,27.288975226190107,24.225238710526046,21571.158086603456,37590.8744165102
2023-12-31 06:16:15.297950,1213.6221837833157,39.30892100286804,17.849474342514977,15897.536572164752,40238.227989621504
2024-01-31 06:16:15.297950,1233.2187290513111,38.64032885582614,22.1807643130903,22787.93225181516,43767.50247661548
2024-02-29 06:16:15.297950,1455.034055881073,30.08595347095963,24.251467396889325,20634.960232444027,33071.46063838257
2024-03-31 06:16:15.297950,830.6637880756209,39.596667048662184,17.10768773011385,23407.281562980832,46509.68006163085
2024-04-30 06:16:15.297950,882.7798966918516,36.25151587931606,15.017350923971806,23840.10967192821,46347.263857628524
2024-05-31 06:16:15.297950,1667.2305337270845,25.8140276226275,20.461350803257258,18212.06457603236,47824.04276077288
2024-06-30 06:16:15.297950,1563.277640224488,37.382895147503646,18.178393057573945,24405.564638217806,31367.292404047883
2024-07-31 06:16:15.297950,1772.962485523585,34.963326264093986,21.069763745171258,18479.172416503214,47853.16928420523
2024-08-31 06:16:15.297950,1374.8474895171507,31.614969216173524,20.47098408944529,17991.976382901095,30834.78327730488
2024-09-30 06:16:15.297950,1807.6582415259197,39.04801133581997,19.260832756188496,24267.333014102314,37050.57242743014
2024-10-31 06:16:15.297950,924.7454468676843,28.449302749053707,16.08016611760707,17064.982319397302,30908.0002796578
2024-11-30 06:16:15.297950,1062.270215709825,38.57464439797422,22.224518931342445,16269.67537654138,38218.38218718714
2024-12-31 06:16:15.297950,1263.577602307866,39.18081813823441,22.46150815344116,20029.565916659245,38333.77328536564
2025-01-31 06:16:15.297950,1272.2814513569795,25.95338852686205,18.167945758610983,22425.57438103833,38497.10582295124
