Date,Projects_Completed,MW_Commissioned,IRA_Benefit_M,US_Content_Pct,Lead_Time_Months
2023-02-02 06:16:14.715951,1,60.35867443137421,3.448325499850183,99.6981544330189,13.125459115355286
2023-02-03 06:16:14.715951,0,29.384269575960463,1.8322017776180244,89.52153405428442,8.28248708601719
2023-02-04 06:16:14.715951,0,453.65315455855284,0.13658981167721462,81.63546893420431,7.384758729576939
2023-02-05 06:16:14.715951,1,249.57710205545496,8.469674840117019,87.52857232996331,14.038715705948261
2023-02-06 06:16:14.715951,0,225.20317082238128,5.252239361860452,95.06718573292264,9.725244168252512
2023-02-07 06:16:14.715951,1,403.0734455578807,4.741919718966065,99.31372157628658,17.61183098473308
2023-02-08 06:16:14.715951,2,19.67468793702193,5.533610192326044,80.52859489300063,8.527831643520848
2023-02-09 06:16:14.715951,3,427.5885487327682,5.178364577953279,83.67271162990124,14.223747356777485
2023-02-10 06:16:14.715951,0,313.3005362776606,8.050609588813483,87.54808695363447,9.028258190828739
2023-02-11 06:16:14.715951,2,316.37030456564673,3.512616958883404,83.4815321074678,6.743776212394984
2023-02-12 06:16:14.715951,3,174.31893850707274,0.8399961694880609,99.11006190921513,9.866051005296953
2023-02-13 06:16:14.715951,4,480.92124477284153,9.683807444743419,81.49316701316428,10.927120287690766
2023-02-14 06:16:14.715951,3,407.500752846295,6.854809714561117,98.00986937574314,14.17904586202973
2023-02-15 06:16:14.715951,4,342.22552980308444,1.000012211087603,85.91583341485178,9.516927997262943
2023-02-16 06:16:14.715951,2,443.19756384823944,5.241404727430004,80.18552345521364,14.886633902628349
2023-02-17 06:16:14.715951,3,184.00516044856892,2.3009755553575917,81.37217739644113,13.79223604777831
2023-02-18 06:16:14.715951,4,324.66064553373974,8.839485635349158,95.94431363685177,9.045503756406044
2023-02-19 06:16:14.715951,2,109.82441334477366,5.433296354776572,98.27397555480898,6.349175203450715
2023-02-20 06:16:14.715951,0,184.84241690306763,4.841791144990893,97.5388708553393,7.908408465826331
2023-02-21 06:16:14.715951,2,140.2142840051268,6.249948745858541,85.22193365642809,13.070197492199895
2023-02-22 06:16:14.715951,2,45.966901877897534,3.6489096169059057,93.36566057038246,8.47283770778773
2023-02-23 06:16:14.715951,3,350.1497889835841,6.3884508339878865,91.29323332556224,14.504465405304456
2023-02-24 06:16:14.715951,3,66.23262886187648,8.304315267235333,82.61371556476918,6.983242192398404
2023-02-25 06:16:14.715951,3,15.847371008190613,3.7279883721053544,98.39326150101286,10.759641746257298
2023-02-26 06:16:14.715951,3,48.06168124852983,7.095071898832118,94.60812510550878,11.659546625932203
2023-02-27 06:16:14.715951,4,260.0636804227531,7.067219925549944,97.53554050044913,8.138642654924453
2023-02-28 06:16:14.715951,1,259.79850785887413,6.434074697871365,96.37456778706088,6.176567619902416
2023-03-01 06:16:14.715951,0,454.07302672261676,0.1487970108126091,98.62642430390974,13.394939668625453
2023-03-02 06:16:14.715951,0,146.6023814172074,3.1189788672962724,85.54035267261561,8.813773879197823
